Mot;Pole_Semantique;Domaine_Ecriture;Registre_Tonalite;Profil_Emotionnel;Epoque;Difficulte;Pertinence;Origine_Geographique
gnomique;ARTS_ET_LANGAGE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ANTIQUITE;1.000;0.00;FRANCAIS
grimoire;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.162;0.00;FRANCAIS
harangue;ARTS_ET_LANGAGE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.159;0.00;FRANCAIS
hémistiche;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.544;0.00;FRANCAIS
héraut;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.303;0.00;FRANCAIS
incantation;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.105;0.00;FRANCAIS
invective;ARTS_ET_LANGAGE;THEATRE;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;ROMANTIQUE_19;0.153;0.00;FRANCAIS
laconique;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.040;0.00;FRANCAIS
laudateur;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.530;0.00;FRANCAIS
libation;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ANTIQUITE;0.453;0.00;FRANCAIS
liminaire;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.166;0.00;FRANCAIS
liturgie;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
loquace;ARTS_ET_LANGAGE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.020;0.00;FRANCAIS
loquacité;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.084;0.00;FRANCAIS
lyrisme;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;POSITIF_EXCITANT;ROMANTIQUE_19;0.070;0.00;FRANCAIS
mignardise;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.408;0.00;FRANCAIS
mignonne;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
murmure;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;POSITIF_CALME;ROMANTIQUE_19;0.020;0.00;FRANCAIS
mélopée;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEGATIF_CALME;CLASSIQUE_17_18;0.020;0.00;FRANCAIS
ménestrel;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;POSITIF_CALME;CLASSIQUE_17_18;0.421;0.00;FRANCAIS
métrique;ARTS_ET_LANGAGE;POESIE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.388;0.00;FRANCAIS
oblation;ARTS_ET_LANGAGE;ESSAI_PHILOSOPHIQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.461;0.00;FRANCAIS
ostensoir;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ANTIQUITE;0.132;0.00;FRANCAIS
palimpseste;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.414;0.00;FRANCAIS
panégyrique;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.332;0.00;FRANCAIS
pataquès;ARTS_ET_LANGAGE;THEATRE;COMIC_BURLESQUE;NEUTRE;CLASSIQUE_17_18;0.305;0.00;FRANCAIS
patène;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ANTIQUITE;0.424;0.00;FRANCAIS
poétique;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.00;FRANCAIS
prolixe;ARTS_ET_LANGAGE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.020;0.00;FRANCAIS
prolixité;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.516;0.00;FRANCAIS
psalmodie;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;CLASSIQUE_17_18;0.242;0.00;FRANCAIS
psalmodier;ARTS_ET_LANGAGE;POESIE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.338;0.00;FRANCAIS
psautier;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.579;0.00;FRANCAIS
quiproquo;ARTS_ET_LANGAGE;THEATRE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.240;0.00;ITALIEN
ratiociner;ARTS_ET_LANGAGE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.328;0.00;FRANCAIS
rhapsode;ARTS_ET_LANGAGE;POESIE;ARCHAIQUE_RECHERCHE;NEUTRE;ANTIQUITE;1.000;0.00;FRANCAIS
rhapsodie;ARTS_ET_LANGAGE;POESIE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.394;0.00;FRANCAIS
satirique;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.367;0.00;FRANCAIS
satyrique;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;1.000;0.00;FRANCAIS
soliloque;ARTS_ET_LANGAGE;THEATRE;COMIC_BURLESQUE;NEUTRE;CLASSIQUE_17_18;0.126;0.00;FRANCAIS
somnambule;SENTIMENTS_ET_PSYCHE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.00;FRANCAIS
soporifique;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.241;0.00;FRANCAIS
talisman;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.030;0.00;ARABE
tintamarre;ARTS_ET_LANGAGE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.050;0.00;FRANCAIS
troubadour;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;POSITIF_CALME;ROMANTIQUE_19;0.237;0.00;FRANCAIS
trépidation;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.162;0.00;FRANCAIS
vate;ARTS_ET_LANGAGE;POESIE;ARCHAIQUE_RECHERCHE;NEUTRE;ANTIQUITE;1.000;0.00;FRANCAIS
vaticination;ARTS_ET_LANGAGE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.504;0.00;FRANCAIS
verbeux;ARTS_ET_LANGAGE;ROMANESQUE;COMIC_BURLESQUE;NEUTRE;CLASSIQUE_17_18;0.419;0.00;FRANCAIS
volubile;ARTS_ET_LANGAGE;ROMANESQUE;COMIC_BURLESQUE;NEUTRE;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
volubilité;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.102;0.00;FRANCAIS
vélin;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.217;0.00;FRANCAIS
élixir;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.010;0.00;ARABE
élucubration;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.419;0.00;FRANCAIS
élégiaque;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;CLASSIQUE_17_18;0.382;0.00;FRANCAIS
élégie;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;CLASSIQUE_17_18;0.374;0.00;FRANCAIS
épigone;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.118;0.00;FRANCAIS
acrimonie;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;ROMANTIQUE_19;0.172;0.00;FRANCAIS
anachorète;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.326;0.00;FRANCAIS
atermoiement;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.357;0.00;FRANCAIS
atrabilaire;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.520;0.00;FRANCAIS
auguste;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.020;0.00;FRANCAIS
bilieux;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.347;0.00;FRANCAIS
bonhomie;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
brigand;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.020;0.00;FRANCAIS
captieux;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.393;0.00;FRANCAIS
causticité;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.199;0.00;FRANCAIS
caustique;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.040;0.00;FRANCAIS
circonspect;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.060;0.00;FRANCAIS
clémence;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;ROMANTIQUE_19;0.030;0.00;FRANCAIS
collusion;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;ROMANTIQUE_19;0.193;0.00;FRANCAIS
condottiere;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.330;0.00;ITALIEN
connivence;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.050;0.00;FRANCAIS
cénobite;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.657;0.00;FRANCAIS
effronterie;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.174;0.00;FRANCAIS
estafette;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.040;0.00;FRANCAIS
facétieux;ESPRIT_ET_CARACTERE;ROMANESQUE;COMIC_BURLESQUE;POSITIF_EXCITANT;CLASSIQUE_17_18;0.173;0.00;FRANCAIS
fallacieux;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CONTEMPORAIN_21;0.050;0.00;FRANCAIS
famélique;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEGATIF_CALME;CLASSIQUE_17_18;0.124;0.00;FRANCAIS
fielleux;ESPRIT_ET_CARACTERE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.329;0.00;FRANCAIS
flegmatique;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.218;0.00;FRANCAIS
flibustier;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.268;0.00;FRANCAIS
flâneur;ESPRIT_ET_CARACTERE;POESIE;POETIQUE_LYRIQUE;POSITIF_CALME;ROMANTIQUE_19;0.159;0.00;FRANCAIS
fripon;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.091;0.00;FRANCAIS
goguenard;ESPRIT_ET_CARACTERE;THEATRE;COMIC_BURLESQUE;NEGATIF_CALME;CLASSIQUE_17_18;0.040;0.00;FRANCAIS
graveleux;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.065;0.00;FRANCAIS
gredin;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;MODERNE_20;0.010;0.00;FRANCAIS
grivois;ESPRIT_ET_CARACTERE;THEATRE;COMIC_BURLESQUE;NEGATIF_CALME;CLASSIQUE_17_18;0.354;0.00;FRANCAIS
grivoiserie;ESPRIT_ET_CARACTERE;THEATRE;COMIC_BURLESQUE;NEGATIF_CALME;CLASSIQUE_17_18;0.609;0.00;FRANCAIS
grognard;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;ROMANTIQUE_19;0.444;0.00;FRANCAIS
ignominie;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;ROMANTIQUE_19;0.040;0.00;FRANCAIS
ilote;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;ARCHAIQUE_RECHERCHE;NEGATIF_CALME;ANTIQUITE;0.367;0.00;FRANCAIS
imbroglio;ARTS_ET_LANGAGE;THEATRE;COMIC_BURLESQUE;NEUTRE;MODERNE_20;0.040;0.00;ITALIEN
impertinence;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.151;0.00;FRANCAIS
impudence;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.071;0.00;FRANCAIS
impérieux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.040;0.00;FRANCAIS
impéritie;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;CONTEMPORAIN_21;0.103;0.00;FRANCAIS
incurie;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.068;0.00;FRANCAIS
indocile;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.235;0.00;FRANCAIS
insidieux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.040;0.00;FRANCAIS
insolence;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.040;0.00;FRANCAIS
insoumis;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;ROMANTIQUE_19;0.056;0.00;FRANCAIS
intransigeance;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;ROMANTIQUE_19;0.080;0.00;FRANCAIS
intrépide;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;CLASSIQUE_17_18;0.040;0.00;FRANCAIS
intègre;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.020;0.00;FRANCAIS
irrévérence;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.452;0.00;FRANCAIS
larron;ESPRIT_ET_CARACTERE;THEATRE;ARCHAIQUE_RECHERCHE;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.116;0.00;FRANCAIS
libidineux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.223;0.00;FRANCAIS
licencieux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.284;0.00;FRANCAIS
longanimité;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;ROMANTIQUE_19;0.488;0.00;FRANCAIS
magnanime;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.040;0.00;FRANCAIS
malandrin;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.524;0.00;FRANCAIS
mansuétude;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.050;0.00;FRANCAIS
maraudeur;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;ROMANTIQUE_19;0.099;0.00;FRANCAIS
marmiton;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.347;0.00;FRANCAIS
mentor;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;MODERNE_20;0.010;0.00;FRANCAIS
moujik;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.280;0.00;RUSSE
méticuleux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.050;0.00;FRANCAIS
narquois;ESPRIT_ET_CARACTERE;ROMANESQUE;COMIC_BURLESQUE;NEGATIF_CALME;CLASSIQUE_17_18;0.030;0.00;FRANCAIS
noctambule;ESPRIT_ET_CARACTERE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.175;0.00;FRANCAIS
obséquieux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;MODERNE_20;0.050;0.00;FRANCAIS
ombrageux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.040;0.00;FRANCAIS
opiniâtre;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.040;0.00;FRANCAIS
opulence;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_CALME;ROMANTIQUE_19;0.030;0.00;FRANCAIS
ostentatoire;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.089;0.00;FRANCAIS
ostracisme;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.190;0.00;FRANCAIS
outrageux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.516;0.00;FRANCAIS
outrecuidance;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;MODERNE_20;0.080;0.00;FRANCAIS
outrecuidant;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.434;0.00;FRANCAIS
paladin;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;POSITIF_EXCITANT;CLASSIQUE_17_18;0.193;0.00;FRANCAIS
palefrenier;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.263;0.00;FRANCAIS
parangon;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;CONTEMPORAIN_21;0.030;0.00;FRANCAIS
paria;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;MODERNE_20;0.000;0.00;PORTUGAIS
parjure;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.079;0.00;FRANCAIS
patricien;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.437;0.00;FRANCAIS
pernicieux;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEGATIF_CALME;MODERNE_20;0.050;0.00;FRANCAIS
plébéien;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.250;0.00;FRANCAIS
pointilleux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_CALME;CLASSIQUE_17_18;0.173;0.00;FRANCAIS
potentat;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;CLASSIQUE_17_18;0.376;0.00;FRANCAIS
preux;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;POSITIF_EXCITANT;CLASSIQUE_17_18;0.001;0.00;FRANCAIS
probe;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.320;0.00;FRANCAIS
