Domaine;Mot;Score_C5;Zipf;Définition
droit;ab initio;0.700;1.85;(Droit) Littéralement « dès son initiation », en parlant d’un événement qui relève du juridique (acte, contrat, loi…). En général ce terme est employé pour évoquer la rétroactivité d’une déclaration de nullité d’un acte juridique. Il est propre au jus cogens d’invalider les traités, conventions o...
droit;abannation;0.700;0.00;(Droit, Histoire) Exil d’une année auquel on condamnait les individus coupables d'homicide par imprudence. Me revenait ce dérivé de bannir, abannation, jadis en droit la condamnation à un exil d’un an pour homicide involontaire. — (Bruno Bayen, Élève, 2017)
droit;acceptation;0.700;3.62;Plusieurs constitutions adoptées récemment ont inclus des garanties spécifiques liées à la liberté d'information, reflétant une acceptation croissante de ce droit humain fondamental. — (Rapport mondial sur la corruption 2003, Transparency international, sous la direction de Robin Hodess, Karthala...
droit;accès à l’information;0.700;0.00;(Canada) (Droit) Possibilité de consulter les documents de l’administration fédérale en vertu de la Loi sur l’accès à l’information[1]. Exemple d’utilisation manquant. (Ajouter)
droit;accommodation;0.700;2.61;Charles V. Aubrun l’appelle « l’accommodation des lieux, la mise en scène ». Je ne m’attacherai pas ici au décor, dont je reconnais que c’est un élément essentiel dans la création de l’espace scénique, mais qui n’est pas spécifique du théâtre. — (Jean-Jacques Alcandre, Enjeux de l’espace littérai...
droit;accord de non-divulgation;0.700;0.00;(Droit, Économie) Contrat entre deux entités qui engage l’une de ces entités à tenir confidentielles certaines informations que l’autre sera amenée à lui communiquer. Note : Ces accords sont souvent réciproques, et engagent typiquement chaque partie à préserver la confidentialité des secrets de l...
droit;accusatoire;0.700;1.00;(Droit) Qualifie la procédure pénale appliquée dans les pays anglo-saxons, dans laquelle ce sont les parties et non les représentants de la société qui mènent le procès. Système, procédure accusatoire.
droit;achalandage;0.700;1.85;Aux marchandises et ustensiles s’est ajoutée une valeur attachée à l’achalandage et à la localisation de l’activité du commerçant. — (Jean Hilaire, Le droit les affaires et l'histoire, 1995)
droit;acte d’accusation;0.700;0.00;"(Droit) Exposé des faits qui sont imputés à un accusé. […] ; Robespierre enfin fit rédiger par Saint-Just l’acte d’accusation le plus menteur, le plus violent, le plus haineux, le plus infâme, par lequel on reprochait à Danton et à ses compagnons d’être royalistes, […]. — (Alfred Barbou, Les Troi..."
droit;action oblique;0.700;0.00;(Droit) Action indirecte exercée par un créancier à la place de débiteur.
droit;administrativiste;0.700;0.00;Terme technique lié au domaine droit.
droit;affectation;0.700;3.70;Terme technique lié au domaine droit.
droit;afférent;0.700;1.60;Terme technique lié au domaine droit.
droit;affidation;0.700;0.00;Terme technique lié au domaine droit.
droit;affidavit;0.700;1.78;Terme technique lié au domaine droit.
droit;aggravation;0.700;2.87;Terme technique lié au domaine droit.
droit;aliénation;0.700;3.17;Terme technique lié au domaine droit.
droit;amélioration;0.700;3.35;Terme technique lié au domaine droit.
droit;à charge;0.600;0.00;Terme technique lié au domaine droit.
droit;à fin de;0.600;0.00;Terme technique lié au domaine droit.
droit;à huis clos;0.600;0.00;Terme technique lié au domaine droit.
droit;a minima;0.600;0.00;Terme technique lié au domaine droit.
droit;à minima;0.600;0.00;Terme technique lié au domaine droit.
droit;abandonnateur;0.600;0.00;Terme technique lié au domaine droit.
droit;abandonnatrice;0.600;0.00;Terme technique lié au domaine droit.
droit;abatellement;0.600;0.00;Terme technique lié au domaine droit.
droit;abdicatif;0.600;0.00;Terme technique lié au domaine droit.
droit;abergeage;0.600;0.00;Terme technique lié au domaine droit.
droit;abloquiez;0.600;0.00;Terme technique lié au domaine droit.
droit;abrogé;0.600;2.08;Terme technique lié au domaine droit.
droit;abroger;0.600;1.95;Terme technique lié au domaine droit.
droit;absolutoire;0.600;0.00;Terme technique lié au domaine droit.
droit;absoudre;0.600;3.19;Terme technique lié au domaine droit.
droit;abstenir;0.600;3.44;Terme technique lié au domaine droit.
droit;abus de biens sociaux;0.600;0.00;Terme technique lié au domaine droit.
droit;acceptant;0.600;3.49;Terme technique lié au domaine droit.
droit;accès aux services publics;0.600;0.00;Terme technique lié au domaine droit.
droit;accession;0.600;3.09;Terme technique lié au domaine droit.
droit;accessoire;0.600;3.32;Terme technique lié au domaine droit.
droit;accident de mer;0.600;0.00;Terme technique lié au domaine droit.
cuisine;brunoise;1.000;0.00;(Cuisine) Ensemble de légumes coupés en dés de petite taille et pouvant servir de garniture. Commencez par couper en brunoise un peu grossière l’intégralité des légumes du bouillon. — (journal 20 minutes, édition Paris-IDF, 28 novembre 2022, page 14)
cuisine;blanchir;1.000;3.42;(Cuisine) Porter à ébullition une viande ou des légumes dans de l’eau salée, avant de les rafraîchir à l’eau froide et de les cuisiner autrement. Si l’on blanchit trop ce chou , il se réduira en bouillie en le cuisant pour la table : et s’il ne l’est pas suffisamment, on ne pourra le cuire assez ...
cuisine;déglacer;1.000;1.00;(Cuisine) Mouiller avec un liquide (vin, bouillon…) un récipient ayant servi à une cuisson, pour dissoudre les substances et les sucs restant attachés au fond, afin de constituer un jus qui sera souvent filtré dans un chinois. Au bout de 5 min, déglacez au vinaigre de cidre, puis mouillez votre b...
cuisine;julienne;1.000;3.23;(Cuisine) Technique de découpe des légumes en filaments plus ou moins gros. La carotte et les blancs de poireaux sont taillés en fine julienne.
cuisine;sabler;1.000;2.43;Couvrir de sable. Les abords désobstrués et sablés étaient soignés par l’homme chargé d’entretenir les allées du parc. — (Honoré de Balzac, Les Paysans, 1845, première partie, chapitre dixième)
cuisine;émulsionner;1.000;0.00;"(Chimie) Mettre en émulsion un corps. Quand on emploie l’albumine comme moyen d’émulsionner, on a recours au blanc d’œuf, et plus souvent encore au jaune d’œuf; ces corps sont même préférables à la gomme, quand il s'agit de diviser une huile épaisse et visqueuse comme celle des ricins ; […]. — (E..."
cuisine;chinoiser;1.000;2.15;(Cuisine) (Transitif) Passer une préparation culinaire liquide dans un chinois (sorte de passoire) afin de récupérer une préparation homogène et sans grumeaux. Glace : infuser 6g de thé dans 250 g de lait et 80 g de crème. Chinoiser. — (journal 20 minutes, 19 juin 2015)
cuisine;concasser;1.000;1.85;(Cuisine) Pour les tomates : couper en petits dés après avoir enlevé les pépins et la peau.
cuisine;roux;0.900;4.41;Fondu et cuit jusqu’à obtenir une couleur rousse en cuisine. Beurre roux.
cuisine;singer;0.900;3.11;(Cuisine) Saupoudrer de farine des éléments que l’on a préalablement fait revenir dans de la matière grasse, farine que l’on laisse cuire légèrement avant de verser dessus un liquide de mouillement (lait, eau, bouillon) afin d’obtenir une sauce liée. Sauce à la Sainte-Menehould. — Mettez dans une...
cuisine;coquerie;0.700;1.70;(Marine) Grande cuisine construite sur les quais.
cuisine;à la Daumont;0.700;1.85;(Cuisine) Désigne un plat (généralement du poisson) auquel on a ajouté quelques belles lames de truffes cuites au vin de Madère ou à la vapeur de champagne. Darne de Saumon à la Daumont. — Pocher la darne au court-bouillon au vin blanc préparé à l’avance.Dresser avec garniture de : Champignons mo...
cuisine;à la fleuriste;0.700;0.00;(Cuisine) Se dit d’une garniture faite de tomates farcies aux petits légumes et de pommes Château. Exemple d’utilisation manquant. (Ajouter)
cuisine;à bouche que veux-tu;0.600;0.00;Abondamment, avec tous les mets qui lui plaisent, en parlant d'un convive que l'on régale « Peut-être, pensat-il, que ce loup sera traitable. » Et de son ventre, où il était enfermé, il lui cria : ce Cher ami loup, je veux t’enseigner un bon repas à faire. — Et où cela ? dit le loup. — Dans telle...
cuisine;à feu doux;0.600;0.00;(Cuisine) À une température faible, pour une cuisson. Il rajoute du sel et du poivre sur la jardinière, règle le gaz à feu doux, et referme la cocotte. — (Élisabeth Filhol, La Centrale, P.O.L, Paris, 2010, page 63)
cuisine;à gueule-que-veux-tu;0.600;0.00;(Sens figuré) En grande quantité, à profusion. La Fatuité moderne aura beau rugir, éructer tous les borborygmes de sa ronde personnalité, vomir tous les sophismes indigestes dont une philosophie récente l’a bourrée à gueule-que-veux-tu, cela tombe sous le sens que l’industrie, faisant irruption d...
cuisine;à l’Argenteuil;0.600;0.00;(Cuisine) Se dit d’une préparation avec des asperges. À l’Argenteuil — (Garnitures ou apprêts á la mode des régions ou villes de France voire de personnages 1ère partie sur Guide Resto Paris, 3 février 2022)
cuisine;à l’étouffade;0.600;0.00;"(Cuisine) Cuit en vase clos, à la vapeur. Artichauts à l’étouffade. Parez vos artichauts à l’ordinaire. Foncez une casserole de bandes de lard ; assaisonnez de sel poivre, &amp; bouquet ; arrangez vos artichauts ; mouillez de bouillon, &amp; assaisonnez dessus comme dessous : faites cuire ainsi à..."
cuisine;à l’étuvée;0.600;0.00;"(Cuisine) Cuit en vase clos, à la vapeur. Les ranger dans une cocotte beurrée, avec une petite carotte nouvelle coupée en quartiers et 3 cuillerées de petits pois fraîchement écossés par artichaut ; ajouter un fort bouquet garni ; un peu d’eau ; saler légèrement ; couvrir et cuire très doucement ..."
cuisine;à l’impératrice;0.600;0.00;"(Cuisine) Se dit de diverses préparations considérées comme « riches ». Poires à l’Impératrice. — Les partager en quartiers ; bien parer ceux-ci et les cuire au sirop vanillé.Les dresser en timbale basse, entre deux couches de Riz à Entremets, vanillé, et additionné d’un peu de Crème frangipane. ..."
cuisine;à la baïenne;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la banquière;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la basquaise;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la batelière;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la béarnaise;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la beaujolaise;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la Béchamel;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la bénédictine;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la Bénédictine;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la Bercy;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la bernoise;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la berrichonne;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la biarrote;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la biscayenne;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la bisontine;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la bohémienne;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la bolognaise;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la bonifacienne;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la bonne femme;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la bordelaise;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la bouchère;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la boulangère;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la bouquetière;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la bourgeoise;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la bourguignonne;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la brabançonne;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la brêmoise;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la bressane;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la bretonne;0.600;0.00;Terme technique lié au domaine cuisine.
cuisine;à la bruxelloise;0.600;0.00;Terme technique lié au domaine cuisine.
médecine;apoptose;1.000;1.48;En tout cas, c’est bien l’environnement de la cellule qui détermine sa forme, la forme même des êtres visibles et, à l’image d'une statue qui prend sa forme sous les coups de burin du sculpteur, l’embryon est sculpté par la destruction des cellules par un phénomène qui s’appelle l’apoptose, ou mo...
médecine;nosocomial;1.000;0.00;(Médecine) Se dit d’une maladie infectieuse contractée dans un établissement de santé et affectant soit le malade du fait de son admission ou des soins qu’il a reçus, soit le personnel hospitalier du fait de son activité. Infection nosocomiale, infection contractée en milieu hospitalier.
médecine;étiologie;1.000;1.48;(Médecine) Partie de la médecine qui traite des diverses causes des faits biologiques et spécialement des maladies. Tourner tout bonnement la tête d’une épaule à l’autre à une cadence de phare à éclipse ou d’ours en fosse n’eût pas manqué de proposer alentour et à la longue des problèmes captivan...
médecine;idiopathique;1.000;1.78;(Médecine) Qui a le caractère de l’idiopathie. Quant à la surdité qui est due à des convulsions depuis longtemps guéries, elle rentre dans la classe des acousies idiopathiques, et les moyens thérapeutiques que nous avons conseillés contre cette dernière névrose lui sont applicables. — (E. Hubert-...
médecine;iatrogène;1.000;0.00;(Médecine) Relatif à un effet indésirable provoqué par un médecin ou un traitement médical. La Haute Autorité de santé (HAS), dans ses recommandations, évoque une dépendance iatrogène – pathologie causée par un acte médical – « évitable », qui représenterait 10 % des hospitalisations de personnes...
médecine;aboulique;0.800;1.85;(Médecine) Qui est atteint d’aboulie, atteint de troubles entrainant une perte de volonté ou une grande indécision. Que me font, que me sont ces hommes ? la plupart déjà marqués — troupeau aboulique, fourmis absurdes dans la fourmilière bousculée, et pour lesquels je n’ai ni ombre de pitié, ni sy...
médecine;accréditation;0.800;2.28;(Médecine) Évaluation sur la sécurité et la qualité d'un établissement de santé, effectuée à la demande de celui-ci par un organisme extérieur aboutissant à l'obtention d'un label. Depuis 1954, l’Hôpital Américain de Paris se soumet volontairement au contrôle de la Joint Commission. Cette accrédi...
médecine;-trophie;0.700;0.00;(Médecine) Suffixe des mots relatifs à la croissance, au développement d'un organisme.
médecine;ab-irritation;0.700;0.00;(Médecine) Absence d'irritations. Exemple d’utilisation manquant. (Ajouter)
médecine;abaisse-langue;0.700;2.15;"(Médecine, Médecine vétérinaire) Instrument, en forme de palette, servant à abaisser la langue pour l’examen de la bouche et de la gorge. Il n’y a pas de stérilisation possible des instruments; le verre d’eau du robinet où trempent les abaisse-langue; la gamelle d’aluminium contenant l’huile à lu..."
médecine;abasique;0.700;0.00;(Médecine) Qui est incapable de marcher. Exemple d’utilisation manquant. (Ajouter)
médecine;abcédographie;0.700;0.00;(Médecine) Radiographie que l'on fait d'un abcès — une fois ponctionné — par injection d’un liquide radioopaque ou d’air. Les examens neuroradiologiques (encéphalographie gazeuse, artériographie cérébrale, abcédographie) affirment ce diagnostic. — (Bulletin de la Société médicale d’Afrique noire ...
médecine;aberration;0.700;3.52;(Médecine) Anomalie dans la disposition ou dans le fonctionnement des organes. Le chromosome supplémentaire sur la vingt et unième paire chromosomique avait été découvert en France, deux ans plus tôt, par le professeur Lejeune, qui avait établi, pour la première fois au monde, le lien entre l’éta...
médecine;aberration chromosomique;0.700;0.00;"(Médecine) Anomalie dans le nombre ou la forme des chromosomes. Les conséquences d’une aberration chromosomique dépendent des gènes affectés et du type de cellules atteinte. — (Gérald Karp, Biologie cellulaire &amp; moléculaire, 2e édition, De Boeck Supérieur, 2004, p.513)"
médecine;ablactation;0.700;0.00;(Médecine, Médecine vétérinaire) Arrêt de la sécrétion lactée chez la femme ou chez une femelle. L’objectif de notre étude a été, d’une part de préciser la période à laquelle la mère arrête définitivement l’allaitement au sein (ablactation) et les modalités de cette ablactation, et d’autre part, ...
médecine;abrasion;0.700;2.28;"(Médecine) Lésion superficielle de la peau ou d’une muqueuse causée par frottement ou grattage ; écorchure, excoriation. Le médecin a procédé à une abrasion de sa croûte, ce fut long et peu commode, pour ne pas dire très douloureux…"
médecine;absinthique;0.700;0.00;(Médecine) Pour un malade : intoxiqué avec de l’absinthe. Il a subi un empoisonnement absinthique hier. Il est pas super frais depuis...
médecine;acariose psorique;0.700;0.00;(Médecine) Synonyme de gale.
médecine;accès hyperphagique;0.700;0.00;(Médecine) Trouble du comportement qui consiste à manger une grande quantité d’aliments en très peu de temps.
médecine;accommodation;0.700;2.61;(Médecine) Mécanisme de positionnement naturel du fœtus pour l’accouchement. L’essentiel est la concordance des axes de poussée utérine et de franchissement du détroit supérieur. L’accommodation de la tête fœtale au détroit supérieur se fait dans le même temps, grâce à son orientation en oblique ...
médecine;accrétion;0.700;1.48;Terme technique lié au domaine médecine.
médecine;acellulaire;0.700;1.48;Terme technique lié au domaine médecine.
médecine;acétylcholine;0.700;2.40;Terme technique lié au domaine médecine.
médecine;achondroplasie;0.700;1.48;Terme technique lié au domaine médecine.
médecine;acide cervonique;0.700;0.00;Terme technique lié au domaine médecine.
médecine;acide chénodésoxycholique;0.700;0.00;Terme technique lié au domaine médecine.
médecine;acide cholique;0.700;0.00;Terme technique lié au domaine médecine.
médecine;acide folique;0.700;0.00;Terme technique lié au domaine médecine.
médecine;acide lithocholique;0.700;0.00;Terme technique lié au domaine médecine.
médecine;acide nicotinique;0.700;0.00;Terme technique lié au domaine médecine.
médecine;acidose lactique;0.700;0.00;Terme technique lié au domaine médecine.
médecine;acinétique;0.700;0.00;Terme technique lié au domaine médecine.
médecine;acmastique;0.700;0.00;Terme technique lié au domaine médecine.
médecine;acorticisme;0.700;0.00;Terme technique lié au domaine médecine.
médecine;acouphène;0.700;2.26;Terme technique lié au domaine médecine.
médecine;acouphénique;0.700;0.00;Terme technique lié au domaine médecine.
médecine;-ectasie;0.600;0.00;Terme technique lié au domaine médecine.
médecine;2019-nCoV;0.600;0.00;Terme technique lié au domaine médecine.
médecine;a frigore;0.600;0.00;Terme technique lié au domaine médecine.
médecine;abaissement;0.600;3.33;Terme technique lié au domaine médecine.
médecine;abaisseur;0.600;0.00;Terme technique lié au domaine médecine.
médecine;abarticulaire;0.600;0.00;Terme technique lié au domaine médecine.
médecine;abattement;0.600;3.37;Terme technique lié au domaine médecine.
médecine;abcès chaud;0.600;0.00;Terme technique lié au domaine médecine.
médecine;abcès froid;0.600;0.00;Terme technique lié au domaine médecine.
médecine;abdocentèse;0.600;0.00;Terme technique lié au domaine médecine.
médecine;abdominoplastie;0.600;0.00;Terme technique lié au domaine médecine.
médecine;aberration mentale;0.600;0.00;Terme technique lié au domaine médecine.
médecine;aberration sexuelle;0.600;0.00;Terme technique lié au domaine médecine.
médecine;ablépharie;0.600;0.00;Terme technique lié au domaine médecine.
informatique;polymorphisme;1.000;0.00;(Sécurité informatique) Qualité des virus qui changent leur méthode de chiffrement à chaque cycle de reproduction. A la différence du polymorphisme local où le malware modifie son code à chaque fois qu'il est exécuté, le polymorphisme serveur transforme certaines parties du cheval de Troie à chaq...
informatique;récursion;1.000;0.00;(Informatique) Fait de s’appeler soi-même, pour une fonction informatique.
informatique;idempotence;1.000;0.00;(Algèbre) Propriété d’une opération, d’avoir le même effet qu’on l’applique une ou plusieurs fois.
informatique;obfuscation;1.000;0.00;Stratégie de protection de la vie privée sur internet qui consiste à publier des informations fausses ou imprécises de manière à dissimuler les informations pertinentes. Selon Finn Brunton, coauteur d’un ouvrage sur l’obfuscation et d’une histoire des spams, les données que nous générons sans le ...
informatique;paralléliser;1.000;0.00;(Informatique) Multiplier les processus d’une application informatique pour traiter plus de données simultanément. Je parallélise, tu parallélises, ils parallélisentAvant de rentrer plus en détail dans la parallélisation, il est nécessaire tout d’abord de comprendre comment est structuré le serve...
informatique;accréditation;0.800;2.28;"(Informatique) Procédure permettant d'attribuer à une personne ou à une entité des droits d'accès à des ressources ou à des services électroniques ; par extension, ensemble des informations caractérisant ces droits."
informatique;algorithmique;0.800;2.11;"(Informatique) Domaine d'étude de la résolution de problèmes par la mise en œuvre de suites d’opérations élémentaires selon un processus défini aboutissant à une solution ; il ne faut pas la confondre avec la programmation informatique qui est sa mise en application. Les algorithmes de tri font p..."
informatique;alphanumérique;0.800;1.85;"Qui contient (ou peut contenir, selon le contexte) à la fois des chiffres et des lettres de l’alphabet latin ; Si un ordre du symbole comporte plus de dix subdivisions et moins de 27, le chiffre peut être avantageusement remplacé par une lettre. Ces différents systèmes sont susceptibles d’emploi ..."
informatique;analogique;0.800;2.45;(Électronique, Informatique) Qualifie des mesures, des calculs et toute sorte d'autres informations qui utilisent des valeurs qui peuvent prendre n’importe quel intervalle continu et qui ne peuvent donc pas toujours se représenter par des nombres entiers. Cet ouvrage a pour but de compléter le co...
informatique;informatique;0.700;3.95;Science du traitement automatique de l’information. Outre la télévision, l’informatique, la bureautique et la télématique ont aussi des tubes à image pour les consoles de visualisation — encore que d'autres techniques (écrans plats à plasma, à diode électroluminescente ou à cristaux liquides) les...
informatique;addiction au numérique;0.700;0.00;(Informatique, Sociologie) Cyberdépendance.
informatique;adressage;0.700;1.00;(Informatique) Action de désignation d’un emplacement d’une ressource informatique (mémoire, élément de réseau, etc…). Les tuples sont rangés à l’intérieur de partitions associatives dont la taille est en général une piste mais peut être moins. L’adressage à l’intérieur d’une partition s’effectue...
informatique;adresse informatique;0.700;0.00;(Informatique) Caractère ou groupe de caractères ayant pour fonction de localiser une information dans une mémoire ou d’indiquer le destinataire d’un message.
informatique;adresse physique;0.700;0.00;(Informatique) Adresse de la mémoire vive. Par opposition à l’adresse virtuelle de la mémoire virtuelle. La MMU assurant la conversion entre les deux.
informatique;agenda électronique;0.700;0.00;(Informatique) Logiciel pour la gestion de données personnelles telles que rendez-vous, adresses, etc. De nos jours, l’agenda électronique est devenu un logiciel de planning utilisable en tout lieu et en plein temps. Au lieu d’utiliser les carnets de notes ou les calendriers pour planifier vos ac...
informatique;agnostique;0.700;2.68;(Informatique) Qui peut s’adapter aux composants avec lesquels il interagit. Le « socket » (lien, connexion) de la couche de communication est agnostique en ce qui concerne les mécanismes de transports sous-jacents – il est « transport-agnostique ».
informatique;algorithmisation;0.700;0.00;(Informatique) Désigne de manière générale le fait d’avoir recours à l’utilisation intensive des algorithmes dans l’exploitation des données récoltées dans de la vie courante connectée. [...] Pour ma part, j'en appelle aux citoyens à saisir les enjeux politiques de l'algorithmisation de la vie et...
informatique;allocation automatique;0.700;0.00;(Informatique, Télécommunications) Provisionnement.
informatique;amorçage;0.700;1.95;(Informatique) Action d’amorcer : lancement de la séquence d'opérations du démarrage. Lors de l’installation, un système Linux minimal est chargé en mémoire à partir d’un noyau et d’une image disque présents sur le support d’amorçage. — (Nicolas Pons, Linux Fedora Core 6: administration du systèm...
informatique;angélique;0.700;3.67;Qui appartient à l’ange, qui est propre à l’ange. Pour s’évader de la mentalité scolastique, il fallait répudier le réalisme des universaux qui suscitait quantité de pseudo-problèmes comme celui de […] l’unité ou de la multiplicité numérique de chaque espèce angélique. — (Louis Rougier, Histoire ...
informatique;apostrophe dactylographique;0.700;0.00;Terme technique lié au domaine informatique.
informatique;apostrophe typographique;0.700;0.00;Terme technique lié au domaine informatique.
informatique;appareil électronique;0.700;0.00;Terme technique lié au domaine informatique.
informatique;application;0.700;4.19;Terme technique lié au domaine informatique.
informatique;archivage;0.700;1.78;Terme technique lié au domaine informatique.
informatique;ardoise électronique;0.700;0.00;Terme technique lié au domaine informatique.
informatique;à documentation intégrée;0.600;0.00;Terme technique lié au domaine informatique.
informatique;à la main;0.600;0.00;Terme technique lié au domaine informatique.
informatique;abandogiciel;0.600;0.00;Terme technique lié au domaine informatique.
informatique;accélérateur;0.600;3.55;Terme technique lié au domaine informatique.
informatique;accès direct;0.600;0.00;Terme technique lié au domaine informatique.
informatique;accès libre;0.600;0.00;Terme technique lié au domaine informatique.
informatique;accès séquentiel;0.600;0.00;Terme technique lié au domaine informatique.
informatique;acquittement;0.600;2.78;Terme technique lié au domaine informatique.
informatique;acquitter;0.600;3.26;Terme technique lié au domaine informatique.
informatique;acroniser;0.600;0.00;Terme technique lié au domaine informatique.
informatique;activité;0.600;4.41;Terme technique lié au domaine informatique.
informatique;actuateur;0.600;0.00;Terme technique lié au domaine informatique.
informatique;Ada;0.600;1.70;Terme technique lié au domaine informatique.
informatique;addiciel;0.600;0.00;Terme technique lié au domaine informatique.
informatique;additif;0.600;2.20;Terme technique lié au domaine informatique.
informatique;adoption;0.600;3.60;Terme technique lié au domaine informatique.
informatique;adressable;0.600;0.00;Terme technique lié au domaine informatique.
informatique;adressage absolu;0.600;0.00;Terme technique lié au domaine informatique.
informatique;adressage direct;0.600;0.00;Terme technique lié au domaine informatique.
informatique;adressage dispersé;0.600;0.00;Terme technique lié au domaine informatique.
informatique;adressage immédiat;0.600;0.00;Terme technique lié au domaine informatique.
informatique;adressage implicite;0.600;0.00;Terme technique lié au domaine informatique.
informatique;adressage indirect;0.600;0.00;Terme technique lié au domaine informatique.
informatique;adressage relatif;0.600;0.00;Terme technique lié au domaine informatique.
