Mot;Difficulté;Zipf Livres;Zipf Films;Freq Livres (ppm);Freq Films (ppm);Définition
harangue;Intermédiaire;2.94;1.00;0.88;0.01;Discours solennel, pompeux ou moralisateur adressé à une assemblée ou à une personne.
antithèse;Intermédiaire;2.91;2.04;0.81;0.11;Mise en opposition de deux expressions ou idées contraires.
réfuter;Intermédiaire;2.91;2.95;0.81;0.89;Combattre et rejeter une affirmation, un argument ou une thèse en prouvant sa fausseté.
concéder;Intermédiaire;2.91;2.59;0.81;0.39;Admettre ou accorder un point à l'adversaire dans une discussion ou un débat.
indubitable;Intermédiaire;2.91;2.46;0.81;0.29;"Dont on ne peut douter ; certain, évident."
tempérer;Intermédiaire;2.83;2.08;0.68;0.12;Modérer ou adoucir des propos ou des émotions.
pamphlet;Intermédiaire;2.83;3.05;0.68;1.11;Court écrit satirique et polémique attaquant une personnalité ou une institution.
postulat;Intermédiaire;2.79;2.15;0.61;0.14;Principe non démontré que l'on admet comme base d'un raisonnement.
apologue;Intermédiaire;2.79;0.00;0.61;0.00;Court récit écrit en prose ou en vers, dont on tire une instruction morale.
discréditer;Intermédiaire;2.79;3.08;0.61;1.20;Faire perdre la confiance, le crédit ou l'autorité de quelqu'un.
dogmatique;Intermédiaire;2.79;1.48;0.61;0.03;"(Religion) Qui appartient au dogme ; qui concerne le dogme. Une autre source qui a fait couler tant de sang a été la fureur dogmatique ; elle a bouleversé plus d'un État, depuis les massacres des Albigeois au XIIIe siècle, jusqu'à la petite guerre des Cévennes au commencement du XVIIIe. — (Voltai..."
casuistique;Intermédiaire;2.74;1.00;0.55;0.01;Partie de la théologie morale qui applique les principes généraux à des cas particuliers de conscience.
assertion;Intermédiaire;2.73;1.85;0.54;0.07;Proposition ou affirmation soutenue comme vraie.
objecter;Intermédiaire;2.73;2.45;0.54;0.28;Opposer un argument ou une objection à une proposition.
postuler;Intermédiaire;2.73;2.94;0.54;0.88;Solliciter, faire des démarches pour obtenir quelque chose, présenter sa candidature. Postuler un emploi, une place.
argumenter;Intermédiaire;2.73;2.79;0.54;0.61;"Faire des arguments ; prouver par arguments. Il paraît qu'il y avait en présence des frères ennemis, des Individualistes, des Étatistes -[…]- qui étaient dans la nécessité de rompre des lances et de se mesurer en champ clos. Ils ont argumenté fortement. Puis, tout a fini par un « Embrassons-nous,..."
probant;Intermédiaire;2.73;2.49;0.54;0.31;(Génétique) Dans une enquête familiale sur une maladie génétique, nom donné au sujet initial de l'enquête. Le probant est indemne, mais deux proches parents sont atteints (père ou mère, un ou plusieurs frères ou sœurs) ou un proche parent et un autre membre de la famille. — (Journal de génétique ...
subjectif;Intermédiaire;2.73;2.81;0.54;0.65;(Philosophie) Qui a rapport au sujet, en parlant de ce qui se passe dans notre esprit, de ce qui est en nous et s’oppose à objectif. Réalité subjective. — Conceptions subjectives.
induction;Intermédiaire;2.67;2.62;0.47;0.42;Raisonnement qui consiste à rassembler une série d’observations spécifiques pour arriver à formuler une conclusion générale. — Voilà comme il répond toujours ! dit le curé, qui, au fond, doué d’une extrême bienveillance, et n’étant pas fâché de voir souvent un homme instruit pour lui faire part d...
légitimer;Intermédiaire;2.67;2.28;0.47;0.19;Reconnaître comme conforme aux lois, aux règles ou à la raison.
pérorer;Intermédiaire;2.67;1.85;0.47;0.07;Parler avec emphase et de manière prétentieuse devant un public.
exorde;Intermédiaire;2.67;1.00;0.47;0.01;Première partie d'un discours classique destiné à capter l'attention de l'auditoire.
axiome;Intermédiaire;2.61;2.00;0.41;0.10;Vérité évidente par elle-même qui ne nécessite aucune démonstration.
corroborer;Intermédiaire;2.61;2.84;0.41;0.69;Confirmer ou fortifier une théorie ou une déclaration par de nouvelles preuves.
fustiger;Intermédiaire;2.61;1.70;0.41;0.05;Critiquer avec une extrême violence ou condamner sévèrement.
arguer;Intermédiaire;2.61;1.70;0.41;0.05;Tirer argument de quelque chose, ou prétendre.
pertinent;Intermédiaire;2.61;3.04;0.41;1.10;Qui est tel qu’il convient, qui est approprié, qui est en rapport avec le sujet. Raisons pertinentes.
corrélativement;Intermédiaire;2.53;0.00;0.34;0.00;D’une manière corrélative. Et peut-être n’était-elle jamais apparue, n’avait-elle jamais existé que corrélativement à mon drame, comme une simple tache d’encre entre deux répliques. — (Driss Chraïbi, Les Boucs, Folio, 1972, p. 46)
digression;Intermédiaire;2.53;1.78;0.34;0.06;Action de s'écarter du sujet principal dans un discours ou un écrit.
réfutation;Intermédiaire;2.53;2.34;0.34;0.22;Définition non renseignée
pragmatique;Intermédiaire;2.53;2.63;0.34;0.43;Définition non renseignée
antinomie;Intermédiaire;2.43;0.00;0.27;0.00;Contradiction réelle ou apparente entre deux lois, deux principes ou deux idées.
pléonasme;Intermédiaire;2.43;2.23;0.27;0.17;Répétition de termes ayant le même sens (ex: monter en haut).
ergoter;Intermédiaire;2.43;2.20;0.27;0.16;Chicaner sur des détails insignifiants dans une discussion.
tendancieux;Intermédiaire;2.43;2.45;0.27;0.28;Définition non renseignée
erroné;Intermédiaire;2.43;2.73;0.27;0.54;Définition non renseignée
girondin;Intermédiaire;2.32;0.00;0.21;0.00;Partisan d'une autonomie locale forte et d'une structure étatique décentralisée ou fédérale.
subséquemment;Intermédiaire;2.30;2.36;0.20;0.23;Définition non renseignée
causalité;Intermédiaire;2.30;2.36;0.20;0.23;Définition non renseignée
corrélation;Intermédiaire;2.30;2.23;0.20;0.17;Définition non renseignée
sophisme;Intermédiaire;2.30;2.46;0.20;0.29;Raisonnement qui présente une apparence de logique mais qui est volontairement trompeur ou fallacieux.
litote;Intermédiaire;2.30;1.48;0.20;0.03;Figure de rhétorique qui consiste à dire moins pour faire entendre plus (ex: ce n'est pas mauvais).
hyperbole;Intermédiaire;2.30;1.95;0.20;0.09;Exagération extrême visant à frapper les esprits.
alléguer;Intermédiaire;2.30;0.00;0.20;0.00;Définition non renseignée
conjecturer;Intermédiaire;2.30;2.15;0.20;0.14;Supposer ou faire des hypothèses sur la base de probabilités.
irréfragable;Intermédiaire;2.30;1.85;0.20;0.07;Définition non renseignée
univoque;Intermédiaire;2.30;2.40;0.20;0.25;Définition non renseignée
panégyrique;Intermédiaire;2.30;2.34;0.20;0.22;Définition non renseignée
syllogisme;Intermédiaire;2.15;2.11;0.14;0.13;Raisonnement logique composé de trois propositions (deux prémisses et une conclusion) tel que la conclusion découle nécessairement des prémisses.
tautologie;Intermédiaire;2.15;1.00;0.14;0.01;Proposition qui répète la même chose sous des formes différentes, raisonnement circulaire.
synecdoque;Intermédiaire;2.15;0.00;0.14;0.00;Type de métonymie consistant à prendre la partie pour le tout, ou le tout pour la partie.
subodorer;Intermédiaire;2.15;2.04;0.14;0.11;Pressentir ou deviner quelque chose par intuition.
élucubrer;Intermédiaire;2.15;1.00;0.14;0.01;Créer des théories ou des écrits extravagants à force de réflexions laborieuses.
spécieux;Intermédiaire;2.15;1.78;0.14;0.06;Définition non renseignée
réformiste;Intermédiaire;2.15;2.58;0.14;0.38;Partisan de réformes graduelles et pacifiques au sein du cadre législatif existant.
prémisse;Intermédiaire;1.85;1.70;0.07;0.05;Définition non renseignée
allégation;Intermédiaire;1.85;2.45;0.07;0.28;Affirmation que l'on produit pour soutenir une cause ou un fait, souvent sans preuve immédiate.
métonymie;Intermédiaire;1.85;0.00;0.07;0.00;Figure par laquelle on remplace un mot par un autre lié par un rapport de contiguïté (ex: boire un verre).
inférer;Intermédiaire;1.85;0.00;0.07;0.00;Tirer une conséquence d'un principe ou d'un fait.
vilipender;Intermédiaire;1.85;2.18;0.07;0.15;Dénigrer ou rabaisser quelqu'un avec mépris.
infirmer;Intermédiaire;1.85;1.85;0.07;0.07;Affaiblir ou contredire une hypothèse ou une décision antérieure.
captieux;Intermédiaire;1.85;0.00;0.07;0.00;Définition non renseignée
jacobin;Intermédiaire;1.85;2.00;0.07;0.10;Partisan d'une centralisation étatique stricte et d'un pouvoir républicain unitaire.
dichotomie;Expert;0.00;2.30;0.00;0.20;Division de quelque chose en deux parties souvent opposées.
chiasme;Expert;0.00;1.00;0.00;0.01;Figure de style croisant des éléments de manière symétrique (ex: Il faut manger pour vivre et non vivre pour manger).
oxymore;Expert;0.00;1.48;0.00;0.03;Alliance de deux mots de sens opposés dans un même groupe syntaxique (ex: un silence éloquent).
invalider;Expert;0.00;2.00;0.00;0.10;Rendre nul ou priver de valeur légale ou scientifique.
réfutable;Expert;0.00;1.00;0.00;0.01;Définition non renseignée
infondé;Expert;0.00;1.70;0.00;0.05;Définition non renseignée
