Mot;Difficulté;Score_C3;Buzz_Score;Trend_Ratio;Pageviews_Total;Recency_Score;Orality_Score;Catégorie_Source;Définition
mélanco;Expert;0.825;0.80;1.56;10;0.80;0.90;Termes populaires en français;(Rare) (Populaire) Mélancolique, triste. Toute la vie de papa Chaverot avait baigné dans une espèce de rassurante grisaille. D’ailleurs, il vivait en blouse grise. C’était assez mélanco. — (San-Antonio (Frédéric Dard), Je le jure, Éditions J’ai Lu, 1975, page 35)
pieuchon;Expert;0.825;0.80;2.93;21;0.80;0.90;Termes populaires en français;(Populaire) (Agriculture) (Vieilli) Instrument aratoire manuel assez semblable à une pioche. La pioche de papa n’est pas ce « pieuchon » de paysan à fer large et léger que je vois manier par mon grand-père et mes oncles Charvin quand je vais à Forges. C’est une pioche de terrassier, épaisse comme...
pistoflard;Expert;0.825;0.80;1.78;11;0.80;0.90;Termes argotiques en français;(Argot) Pistolet. La lointaine Irlande était libre et l’on n’en était plus à craindre les incursions de certains exaltés qui, pour soutenir, disaient-ils, l’action des Fenians, forçaient le tiroir-caisse en vous menaçant de leur pistoflard. — (Edmonde Charles-Roux, Oublier Palerme, Grasset, 1966)
DCP;Expert;0.825;0.80;1.78;184;0.80;0.90;Argot Internet en français;(Langage SMS) (Argot Internet) Du coup. Exemple d’utilisation manquant. (Ajouter)
pour mes pieds;Expert;0.825;0.80;1.80;16;0.80;0.90;Termes populaires en français;(Populaire) C’est mon problème. Enfin, bon, comme étrangers mal piffés, y a que nous, les Ritals. C’est nous qu’on éponge tout. La crise, c’est de notre faute. Le chômage, c’est nous. Mussolini qui fait le con, c’est pour nos pieds. — (François Cavanna, Les Ritals, Belfond, 1978, page 39)
désâmé;Expert;0.825;0.80;1.74;93;0.80;0.90;Néologismes en français;Participe passé masculin singulier de désâmer.
antimeme;Expert;0.825;0.80;1.52;58;0.80;0.90;Argot Internet en français;(Anglicisme) (Argot Internet) Type de meme internet utilisant une image macro et dont l’humour provient du fait qu’elle n’inclut pas de blague. Qu’est-ce qu’un antimeme ? Un antimeme reprend les templates des memes, mais n’y ajoute pas de blague. Et la blague, c’est qu’il n’y a pas de blague. C’e...
boloss;Expert;0.775;0.50;1.13;995;1.00;0.90;Graines de référence;"Personne naïve, victime ou perdante ; synonyme de 'bouffon'."
s'enjailler;Expert;0.775;0.50;1.33;57;1.00;0.90;Graines de référence;S'amuser, faire la fête avec enthousiasme.
crânoter;Expert;0.775;0.50;1.28;54;1.00;0.90;Termes familiers en français;(Péjoratif) Crâner. Bien souvent, le provocateur n’ose pas et se retire avec, néanmoins, des petits airs de crânoter. — (Marcel Aymé, Silhouette du scandale, 1938)
Bab el-Oued;Expert;0.775;0.50;1.17;100;1.00;0.90;Termes familiers en français;(Géographie) Quartier populaire de la ville d'Alger. Les trois jeunes malfaiteurs sont des hitistes d’un même quartier à Bab-el-Oued. — (Arezki Mellal, Que se passe-t-il à Rotterdam ?, 2002)
·e·x;Expert;0.775;0.50;1.23;254;1.00;0.90;Néologismes en français;(Néologisme) (Transféminisme) (LGBTQ) Marqueur de neutre. HVNGRY cherche à donner des moyens à tou·te·x·s de comprendre ces mécanismes de discrimination. D’un côté, le projet veut motiver chacun·e·x à se libérer soi-même de ces stéréotypes de genre sexistes, afin de se les réapproprier et de s’en...
noirabe;Expert;0.775;0.50;1.36;158;1.00;0.90;Argot Internet en français;(Péjoratif) Personne noire musulmane accusée de faire passer son appartenance religieuse avant son origine ethnique. Dans la bouche des uns, “Noirabe” est une insulte : elle désigne ces Noirs musulmans accusés de privilégier leur appartenance religieuse à leur conscience raciale, au point de tair...
roupette;Intermédiaire;0.750;0.50;1.10;1475;1.00;0.80;Termes populaires en français;"(Populaire) (Vulgaire) Testicule ; → voir couille, roubignole et rouston. Tu nous casses les roupettes avec tes histoires."
fou du bus;Expert;0.745;0.60;1.05;5101;0.80;0.90;Argot Internet en français;(Argot Internet) (France) (Suisse) Personne dont les comportements ou les propos sont considérés comme choquants, excentriques ou incohérents. — Pourquoi j'ai accepté de suivre tes idées ? — Parce que tu m'aime trop. Et pour entretenir notre réputations de fous du bus, après tout. —Ah, on n'est p...
miskine;Expert;0.735;0.40;0.71;6551;1.00;0.90;Graines de référence;"Personne qui inspire la pitié ; par extension, interjection exprimant la compassion ou la moquerie."
regarder la feuille à l’envers;Expert;0.705;0.50;1.24;27;0.80;0.90;Termes populaires en français;(Populaire) Avoir des relations sexuelles dans un sous-bois. Tous les jours, après déjeuner, elle partait rejoindre Octave Chévremont en forêt. Ils ne poussaient pas plus loin. On jasa. On raconta que leurs bicyclettes ne les gênaient pas et qu’un bon tour à jouer au couple eût été de les faire d...
Frizou;Expert;0.705;0.50;1.00;16;0.80;0.90;Termes populaires en français;(Populaire) Fritz, boche. Un Normand : – Faudra ben qu’ça finisse un jour quand maînme.– T’as raison.– Oui, mais quand ?– Quand les Frizous mangeront de la merde, et ça ne va pas tarder. — (Jacques Perret, Le Caporal épinglé, Gallimard, 1947, page 151)
enfifré;Expert;0.705;0.50;1.38;88;0.80;0.90;Termes argotiques en français;(Argot) (Vulgaire) Qui subit, ou a subi, une sodomie.
cagnarde;Expert;0.705;0.50;1.43;63;0.80;0.90;Termes familiers en français;(Familier) Celle qui n’aime pas bouger, paresseuse. Exemple d’utilisation manquant. (Ajouter)
ça coince;Expert;0.705;0.50;1.12;67;0.80;0.90;Termes populaires en français;(Populaire) Ça bloque, ça ne peut pas aller plus loin, ça se heurte à un refus ou à la peur. Je n’ose toujours pas penser à ce qui se passe chez moi. Une espèce de peur. Sitôt que j’essaye, ça coince, les images se refusent ou se grippent, par ne pas me faire mal peut-être. — (Jacques Perret, Le ...
corvettard;Expert;0.705;0.50;1.38;78;0.80;0.90;Termes argotiques en français;(Marine) (Argot de la marine de guerre française) Capitaine de corvette (grade d’officier de marine entre le lieutenant de vaisseau et le capitaine de frégate). Seul le corvettard La Haye, qui sentait d’ailleurs le soufre car il arrivait de Washington, en perdit de rire son monocle en voyant la t...
TLMS;Expert;0.705;0.50;1.45;69;0.80;0.90;Argot Internet en français;(Sigle) (Abréviation) (Argot Internet) (Injurieux) Dog whistle raciste et xénophobe utilisé pour commenter un fait divers dont l’identité de la personne à l’origine des faits est présumée être, par préjugé raciste, étrangère ou d’origine étrangère. L article ne le précise pas mais TLMS qui sont l...
coup de pied dans les fesses;Expert;0.705;0.50;1.33;30;0.80;0.90;Termes populaires en français;(Populaire) Sanction infligée à quelqu’un. – Je regrette le temps où ls gens de ton espèce, on les traitait à coups de pied dans les fesses quand ils se permettaient de se conduire comme tu le fais là où t’as pas été invité ! — (Charles Exbrayat, Le temps se gâte à Zakopane, 1986, page 90)
NDD;Expert;0.705;0.50;1.17;9;0.80;0.90;Termes argotiques en français;(Argot Internet) Nom de domaine. Exemple d’utilisation manquant. (Ajouter)
sinn;Expert;0.705;0.50;1.37;298;0.80;0.90;Termes familiers en français;(Langage SMS) (Extrêmement rare) Sinon.
visiteureuse;Expert;0.705;0.50;1.30;23;0.80;0.90;Néologismes en français;(Néologisme) Personne qui va voir une personne ou quelque chose, peu importe son identité de genre. Iels n’ont pas le temps de crier, encore moins d’identifier le-a visiteureuse. Celui-ci est déjà sur Théo, une lame extrêmement bien acérée glissant sur sa jugulaire. — (Eklo Brochard, Les tranquil...
cissoïde;Expert;0.705;0.50;1.19;223;0.80;0.90;Néologismes en français;(Géométrie) Courbe du troisième degré s’enroulant comme le lierre. Dioclès serait l’inventeur de la cissoïde.
bould’hum;Expert;0.705;0.50;1.33;10;0.80;0.90;Termes argotiques en français;(Argot) (France) Personne sensible aux misères humaines dans le monde. Hamon râlait : « Regardez-moi tous ces bould’hum! « Bould’hum », ça voulait dire : bouleversant d'humanité ». Comprendre : toute personne saine de corps et d'esprit et sensible de près ou de loin à l'injustice du monde, à la f...
sans-enfant;Expert;0.705;0.50;1.07;65;0.80;0.90;Néologismes en français;(Néologisme) Personne qui n'a pas d'enfant, que cette situation soit choisie ou subie. Qui sont donc les sans-enfant volontaires, ou « childfree », comme les appellent les Anglo-Saxons ? Cette population n'est pas homogène et il n'est pas non plus aisé de qualifier la « volonté » qui préside à un...
se casser la nénette;Expert;0.705;0.50;1.25;2097;0.80;0.90;Termes populaires en français;"(Populaire) Se casser la tête, réfléchir intensément. — Que « dalle », répond l'autre, mais te casse pas la Nénette, on arrivera quand même. — (« Monsieur, Madame et Bébé dans notre rallye ""cyclo"" », in Ce soir, 19 juin 1939)"
seum;Expert;0.695;0.30;0.33;8894;1.00;0.90;Graines de référence;Sentiment intense de dégoût, de frustration ou de déception (de l'arabe 'sem', venin).
relou;Expert;0.695;0.30;0.45;5022;1.00;0.90;Graines de référence;Pénible, agaçant, ennuyeux (verlan de 'lourd').
kiffer;Expert;0.695;0.30;0.40;5935;1.00;0.90;Graines de référence;Aimer beaucoup, apprécier intensément quelque chose ou quelqu'un.
wesh;Expert;0.695;0.30;0.33;24919;1.00;0.90;Graines de référence;Interjection de salutation ou d'interpellation (de l'arabe dialectal).
pécho;Expert;0.695;0.30;0.40;6709;1.00;0.90;Graines de référence;"Attraper, choper ; séduire quelqu'un (verlan de 'choper')."
nuc;Expert;0.695;0.30;0.86;123;1.00;0.90;Termes argotiques en français;(Argot) Nucléaire. Exemple d’utilisation manquant. (Ajouter)
crânouiller;Expert;0.695;0.30;0.97;43;1.00;0.90;Termes familiers en français;"Crâner. On ne crânouillait pas. — (Anthony Palou, Fruits &amp; légumes, 2010)"
Bab-El-Oued;Expert;0.695;0.30;0.82;228;1.00;0.90;Termes familiers en français;(Géographie) Commune de la wilaya d’Alger en Algérie.
-aire;Expert;0.695;0.30;0.30;9188;1.00;0.90;Néologismes en français;Suffixe adjectival, parfois nominal. Exemple d’utilisation manquant. (Ajouter)
·e;Expert;0.695;0.30;0.84;176;1.00;0.90;Néologismes en français;(Néologisme) (Féminisme) (LGBTQ) Marqueur de neutre. Un·e post-doctorant·e est considéré comme un·e chercheur·e à part entière. Ses activités visent à participer aux activités de son laboratoire notamment la mise en place des expérimentations, la publication d’articles scientifique ou la particip...
le J c’est le S;Expert;0.695;0.30;0.95;108;1.00;0.90;Argot Internet en français;(Argot Internet) (Populaire) (Marseille) Slogan d’adhésion employé pour manifester enthousiasme, appartenance ou approbation au sein d’une communauté. Dans les commentaires, on lit à répétition « Le J c’est le S ! », devenu un marqueur de ralliement des fans.
je veux, mon neveu;Expert;0.695;0.30;0.81;79;1.00;0.90;Termes populaires en français;(Populaire) Tout à fait, absolument. L'occasion pour Charles Parnell de lever le poing encore une fois, avec une expression qui signifie clairement «Je veux, mon neveu!». — (Anaïs Bordages, « Tom Cruise, le triple miracle de Noël, le 28 décembre 2022, sur le site de Slate (www.slate.fr))
meuporg;Expert;0.695;0.30;0.31;69020;1.00;0.90;Argot Internet en français;(Jeux vidéo) (Argot Internet) (Par plaisanterie) Jeu de rôle en ligne massivement multijoueur. → voir MMORPG. Il faut reconnaitre à Nathanaël de Rincquesen un certain talent : en 54 secondes, tous les signaux d’alarme sont tirés : “l’addiction à la vidéo”, “les spécialistes nous parlent de condui...
comme même;Expert;0.695;0.30;0.86;599;1.00;0.90;Termes familiers en français;(Familier) (France) Variante non standard de quand même. Roux ira comme même à l'euro… — (Fan-SB29, « Quelle belle journée. Une semaine formidable s'annonce », allez-brest.com, 30 janvier 2012 → lire en ligne)
raide comme un passe;Expert;0.695;0.30;0.89;7;1.00;0.90;Termes populaires en français;(Populaire) Très raide.
tranny chaser;Expert;0.695;0.30;0.91;56;1.00;0.90;Termes argotiques en français;(Transitude, Fétichisme sexuel) (Argot) Chaser. Cette dénonciation vient très souvent avec des trucs du type « on n’est pas toutes des travailleuses du sexe » ou des conversations sur combien les « tranny chasers » sont des dégueulasses. — (Mira Bellwether (traduit de l’anglais par Mirza-Hélène D...
grand chef;Expert;0.695;0.30;0.74;85;1.00;0.90;Termes familiers en français;(Familier) Personne en responsabilités dans une organisation. La soixantaine, une coupe en brosse de cheveux bien plantés, l'air énergique, cet homme était soit un officiel des eaux et forêts, soit l'un des grands chefs du scoutisme. — (Henry Corbell, Un maire en enfer, Lyon : Éditions Horvath, 1...
chelou;Expert;0.655;0.20;0.35;4576;1.00;0.90;Graines de référence;Bizarre, louche, suspect (verlan de 'louche').
chiller;Expert;0.655;0.20;0.43;3857;1.00;0.90;Graines de référence;Se détendre, ne rien faire, traîner tranquillement (de l'anglais 'to chill').
chanmé;Expert;0.655;0.20;0.41;3305;1.00;0.90;Graines de référence;"Méchant en verlan ; utilisé positivement pour dire 'incroyable, génial'."
askip;Expert;0.655;0.20;0.35;1031;1.00;0.90;Graines de référence;"Abréviation de 'à ce qu'il paraît' ; apparemment, soi-disant."
crari;Expert;0.655;0.20;0.30;4370;1.00;0.90;Graines de référence;Faire genre, prétendre, faire comme si (emprunté au nouchi ivoirien).
masterclass;Expert;0.655;0.20;0.42;2525;1.00;0.90;Graines de référence;Coup d'éclat, performance exceptionnelle (détourné de l'anglais).
complosophisme;Expert;0.655;0.20;0.26;1231;1.00;0.90;Néologismes en français;(Néologisme) (Rhétorique) (Très rare) Procédé discursif consistant à disqualifier un·e contradicteur·ice en l’étiquetant « complotiste », afin d’écarter l’examen de ses arguments. « Le complosophisme tente de faire passer les citoyens vigilants, sages, matures politiquement et responsables pour d...
pousse-cul;Expert;0.655;0.20;0.34;124;1.00;0.90;Termes familiers en français;(Familier) Agent subalterne qui aide à mener les gens en prison. Des pousse-culs l’arrêtent prisonnier. — (Edme Boursault, les Mots à la mode, scène 14, 1694)
nicotineux;Expert;0.655;0.20;0.59;38;1.00;0.90;Termes argotiques en français;Qui contient de la nicotine. Il fallait qu’un ouvrier exposé aux émanations nicotineuses et ammoniacales, auxquelles la torréfaction donnait lieu, veillât à retourner les tabacs, de manière qu’ils ne fussent pas grillés. — (Journal officiel 29 novembre 1875, page 9801, 2e colonne — cité par Littré)
DTC;Expert;0.655;0.20;0.41;3072;1.00;0.90;Argot Internet en français;(Sens figuré) (Vulgaire) (Argot Internet) Réponse cassante à une demande de situation, de localisation. — Où as-tu mis le stylographe ?— DTC !
woko;Expert;0.655;0.20;0.50;88;1.00;0.90;Termes familiers en français;"(Familier) (Péjoratif) Relatif au wokisme ; jugé woke. Ton discours woko pseudo inclusif c'est juste non. — (commentaire Facebook → lire en ligne)"
roubignole;Expert;0.655;0.20;0.52;1026;1.00;0.90;Termes populaires en français;(Populaire) (Vulgaire) Testicule. Le premier coup lui explose une roubignole, le deuxième lui détruit la seconde roubignole. Au moment où je porte un troisième coup pour l’achever, il tombe vers l’avant et c’est le nez qui prend tout. — (Daniel De Kergoat, Mes vingt ans, Numeriklivres, 2014)
mercééé;Expert;0.655;0.20;0.45;31;1.00;0.90;Argot Internet en français;"(Argot Internet) Forme insistante de merci ; remerciement appuyé (parfois ironique ou complice). — Tu m’as gardé une part ? — Oui. — Mercééé !"
payolle;Expert;0.655;0.20;0.57;27;1.00;0.90;Termes populaires en français;"(Populaire) État de celui qui n'a plus d'argent ; fait d'être fauché. On est en plein milieu du mois et je suis déjà en payolle, c'est l'angoisse."
maffre;Expert;0.655;0.20;0.45;1175;1.00;0.90;Termes populaires en français;(Désuet) Ventre, panse. Il s'est bien rempli le maffre à la bouillabaisse du Vallon des Auffes. — (Robert Bouvier, Le parler marseillais — Dictionnaire argotique, Éditions Jeanne Laffitte, Marseille, 1985 — entrée Maffre. Phrase illustrative construite à partir de la définition de Robert Bouvier.)
ego trip;Expert;0.655;0.20;0.38;835;1.00;0.90;Termes familiers en français;(Familier) Action d’attirer l'attention, généralement en exagérant, sur son importance, son influence ou son pouvoir. Et le militantisme demande du sérieux, pas de l'ego trip. — (Virginie Despentes, Vernon Subutex 1, Grasset, 2015, page 368, ISBN 978-2246713517)
hachek;Expert;0.655;0.20;0.48;3663;1.00;0.90;Termes argotiques en français;(Argot) Pardon, excusez-moi. Hachek viens pas m’check si tes doigts sentent le cul — (Seth Gueko feat. Sefyu, Patate de forain, sur le street album Barillet plein, 2005.)
doxxer;Expert;0.655;0.20;0.44;30;1.00;0.90;Argot Internet en français;(Anglicisme informatique) (Argot Internet) Publier, pour nuire, des informations confidentielles concernant une personne, après les avoir recherchées sur le net. Quelqu’un peut vous doxxer parce qu’il n’a pas aimé le contenu que vous avez publié sur les réseaux sociaux ou sur un forum, ou parce q...
palo;Expert;0.655;0.20;0.37;899;1.00;0.90;Termes populaires en français;(Désuet) (Argot) Baiser, patin, pelle. On s'est roulé une de ces palos !
amix;Expert;0.655;0.20;0.59;872;1.00;0.90;Néologismes en français;(Néologisme) Personne non-binaire ou sans détermination de genre avec laquelle on a une relation d’amitié. @leihthefox @DeadlegCyborg s'y connait SUPER BIEN en fauteuil !! (Tu peux donner des pistes a mon amix stp ? 🥺) — (Tweet de @Pierredhiver, posté le 7 août 2023 → lire en ligne)
trempé comme une lavette;Expert;0.655;0.20;0.33;12;1.00;0.90;Termes populaires en français;(Sens figuré) (Populaire) Qualifie une personne trempée, dégoulinante d’eau.
faux comme un jeton;Expert;0.655;0.20;0.58;15;1.00;0.90;Termes populaires en français;"(Familier) (Populaire) Hypocrite. Impossible à distinguer les uns des autres, avec un parler qui ne ressemblait à rien et des salutations à tout bout de champ, comme pour arranger les choses ; des combinards débarqués on ne savait trop comment, par la frontière du Mexique, sans doute, et illégale..."
chouffin;Expert;0.655;0.20;0.42;287;1.00;0.90;Argot Internet en français;(Argot Internet), (Ironique) ou (Péjoratif) Personne stéréotypiquement geek, à l’apparence physique peu soignée et/ou en surpoids, considéré comme simplet dans ses intérêts. Exemple d’utilisation manquant. (Ajouter)
clopinard;Expert;0.655;0.20;0.57;13;1.00;0.90;Termes populaires en français;(Populaire) (Péjoratif) (Vieilli) Clochard, SDF. Ce matin, dans mon atelier, deux hommes sont entrés sur leurs pieds, deux tordus, deux paumés, deux clopinards de la mistoufle qui crevaient de faim et des figures de déterrés. — (Marcel Aymé, nouvelle Le Faux Policier, publiée du 20 juin au 22 aoû...
mexicanisation;Expert;0.655;0.20;0.49;791;1.00;0.90;Néologismes en français;(Sens propre) Action de mexicaniser, de donner un caractère plus mexicain à quelque chose. En parallèle, dans les élans modernisateurs de la Révolution mexicaine, les cultures indigènes étaient perçues comme un obstacle pour le développement national. C’est pour cette raison qu’était promue leur ...
coup de canif dans le contrat;Expert;0.655;0.20;0.52;25;1.00;0.90;Termes populaires en français;(Sens figuré) (Populaire) Infidélité envers son conjoint ou sa conjointe. Jacquier, plus jeune qu’elle, pratiquait avec brio les coups de canif dans le contrat. — (Léo Malet, Fièvre au Marais, 1955, réédition Le Livre de Poche, 1972, page 102)
mec;Débutant;0.645;0.30;0.48;8817;1.00;0.70;Termes populaires en français;(Familier) (Populaire) Individu de sexe ou genre masculin. Tu es dans un monde de mecs, ici. Et dans le monde des mecs, il y a des bouquins de cul et bien d'autres choses, parfois même des femmes. Mais jamais longtemps. — (Éric Legastelois, Putain de cargo !, Vallauris : Atout éditions, 1998)
squeezer;Expert;0.630;0.20;0.45;1718;1.00;0.80;Termes argotiques en français;(Bridge, jeux de carte) (Anglicisme) Obliger un adversaire à perdre une levée en défaussant une carte maîtresse ou qui bloque un affranchissement. Devant ce succès, Sud voit aussitôt plus loin et songe à faire une levée supplémentaire, […] cette levée, c’est celle où Est qui tient à pique, détien...
rouston;Expert;0.630;0.20;0.42;1584;1.00;0.80;Termes populaires en français;(Populaire) (Vulgaire) Testicule. T'as tort, mon pote. Rapelle-toi comment il a écrasé les roustons du cuistot sous prétexte qu'il avait croisé la fille d'un peu trop près... — (Marc Bourgne, Franck Bonnet, Les pirates de Barataria, t. 1 : Nouvelle Orléans, Grenoble, Glénat, juin 2009, ISBN 978-2...
vatères;Intermédiaire;0.625;0.80;1.53;77;0.80;0.10;Termes familiers en français;(Familier) Les toilettes. 21 mai 1940 – « Mesdemoiselles, quand vous aurez vos affaires, ne jetez rien dans la cuvette des vatères ». Le vocabulaire de grand-mère est désopilant d’horreur. — (Benoîte et Flora Groult, Journal à quatre mains, Denoël, 1962, page 20)
avoir ses ragnagnas;Expert;0.625;0.30;0.74;117;0.80;0.90;Termes familiers en français;Avoir ses règles.
67;Expert;0.625;0.30;0.99;861;0.80;0.90;Argot Internet en français;(Transitude, Féminisme) (Argot Internet) Variante de cishet. Exemple d’utilisation manquant. (Ajouter)
climatisme;Expert;0.625;0.30;0.86;109;0.80;0.90;Néologismes en français;(Médecine) Traitement des maladies infectieuses, principalement et historiquement, la tuberculose, par les bienfaits du climat (air pur, ensoleillement). Le climatisme et le thermalisme.
ceulles;Expert;0.625;0.30;0.95;201;0.80;0.90;Néologismes en français;"(Peu usité) (Néologisme) Celles et ceux ; les personnes ou les choses dont on parle sans détermination de genre. — Note : Il est toujours suivi par une proposition relative ou par un syntagme prépositionnel. Ceulles qui sont plus âgé-e-s, quant à eulles, i-elles s'en souviennent. Dans les années ..."
mainant;Expert;0.625;0.30;0.87;242;0.80;0.90;Termes familiers en français;(Familier) ou (Prononciation relâchée) Variante graphique de maintenant. Alors qui c’est qui le garde mainant le youki ? C’est les parents, forcément ! — (Le Progrès, « Le Pillot essaye de dresser son chien : “Oussu !” », 19 janvier 2019 → lire en ligne)
legit;Expert;0.625;0.30;0.72;1291;0.80;0.90;Termes populaires en français;(Familier) (Populaire) (Anglicisme) Légitime. Exemple d’utilisation manquant. (Ajouter)
over sponsorisé;Expert;0.625;0.30;0.98;35;0.80;0.90;Argot Internet en français;(Marketing) (Argot Internet) (Très rare) Se dit d’un produit marqueté a outrance, principalement dans le cadre de placements de produits, au point ou il en devient rédhibitoire ou ridicule. Â«Zin li fiaÂ», dernier spectacle d’Eko, annoncé en fanfare pour Ramadan et over-sponsorisé, s’avère être u...
médiance;Expert;0.625;0.30;0.78;30;0.80;0.90;Néologismes en français;(Néologisme) (Géographie humaine) Relation réciproque et constitutive entre une société et son milieu, par laquelle celui-ci est à la fois perçu, vécu et transformé, et en retour façonne les manières d’habiter, de penser et d’agir. Au Japon, Tetsurō Watsuji conçoit l’homme comme un être en relati...
manque de bol;Expert;0.625;0.30;0.80;65;0.80;0.90;Termes populaires en français;
unx;Expert;0.625;0.30;0.86;156;0.80;0.90;Néologismes en français;
Monsieur Propre;Expert;0.625;0.30;0.79;101;0.80;0.90;Termes argotiques en français;
sans tambour ni trompette;Expert;0.625;0.30;0.81;1401;0.80;0.90;Termes familiers en français;
auteurxice;Expert;0.625;0.30;0.79;24;0.80;0.90;Néologismes en français;
aigritude;Expert;0.625;0.30;0.78;478;0.80;0.90;Néologismes en français;
salam 3alaykum;Expert;0.625;0.30;0.72;33;0.80;0.90;Argot Internet en français;
-anx;Expert;0.625;0.30;0.96;55;0.80;0.90;Néologismes en français;
menestre;Expert;0.625;0.30;0.82;1207;0.80;0.90;Néologismes en français;
épine noire;Expert;0.625;0.30;0.95;132;0.80;0.90;Termes familiers en français;
désathlétisation;Expert;0.625;0.30;0.75;7;0.80;0.90;Néologismes en français;
être basé;Expert;0.625;0.30;0.85;192;0.80;0.90;Argot Internet en français;
girlboss;Expert;0.625;0.30;0.78;50;0.80;0.90;Néologismes en français;
emprendre;Expert;0.625;0.30;0.74;805;0.80;0.90;Néologismes en français;
cédéiser;Expert;0.625;0.30;0.81;773;0.80;0.90;Néologismes en français;
alakon;Expert;0.625;0.30;0.71;37;0.80;0.90;Argot Internet en français;
