Mot;Score_C4;Morpho_Score;Zipf;Source;Définition
abatteur de quilles;0.825;1.25;0.00;Mots insolites;(Sens propre) (Peu usité) Homme adepte au jeu de quilles. En dehors de la politique et de la pipe, Michu aimait assez le jeu de boules. Quelquefois le dimanche, il m’invitait à faire une partie avec lui et Laurier, grand abatteur de quilles. — (Charles Malato, Les Enfants de la liberté, L.-H. May...
palindrome;0.819;0.70;2.65;Graine de référence;"(Linguistique) Texte dont la succession des lettres ou des chiffres est la même quand on le parcourt de gauche à droite ou de droite à gauche. Un palindrome peut être un seul mot, comme « ressasser », une courte phrase, comme « engage le jeu que je le gagne » ; ou un texte plus long."
accumulateur;0.819;0.90;1.85;Mots insolites;(Rare) Celui qui accumule (pour une femme, on dit : accumulatrice). Un grand accumulateur d’écus, de vivres, etc.
kafkaïen;0.819;0.90;1.85;Graine de référence;Assimilable à l'univers de Franz Kafka, et en particulier de sa pièce Le Procès, caractérisé par un dédale d'absurdités confinant au sentiment de cauchemar. Dans Salle 6 sans doute la nouvelle la plus kafkaïenne de Tchekhov, le médecin Roguine, qui travaille dans un asile d'aliénés, finit lui-mêm...
chimérique;0.813;0.85;3.06;Graine de référence;Qui tient de la chimère. Les enfants jouaient dans le parc, pendant que Mme de Bray allait et venait dans l’allée qui conduisait au bois, surveillant leurs jeux à petite distance. Ils se poursuivaient, à travers les fourrés, avec des cris imités de bêtes chimériques, et les plus propres à les eff...
tentacule;0.811;0.65;2.43;Genre Grammatical Confus;Appendice de forme allongée de certains invertébrés (souvent confondu avec le féminin : un tentacule).
accoler;0.811;0.65;2.43;Mots insolites;(Vieilli) (Rare) Jeter les bras autour du cou de quelqu’un en signe d’affection. Il me vint accoler.
bachelière;0.804;0.75;2.15;LGBT & Orientations;(Éducation) Élève diplômée au baccalauréat. A 15 ans, elle est la plus jeune bachelière de La Réunion. — (« Baccalauréat 2023 : Lilou, 15 ans, est la plus jeune bachelière de La Réunion », dans Réunion La Première, 4 juillet 2023 [texte intégral])
abeille métallique;0.800;1.20;0.00;Mots insolites;(Entomologie)(Rare) Nom vernaculaire des abeilles américaines du genre Agapostenom. Chez labeille métallique Agapostemon subtilor, l’humidité modifie directement l’apparence du corps, […]. — (A.-S. T. Cette abeille chnage de couleur avec l’humidité, in Sciences et Avenir n°952.)
abracadabrantesque;0.800;1.20;0.00;Mots insolites;"(Par plaisanterie) (Rare) Complètement abracadabrant. Il a usé le plaisir sans trêve, les voluptés faciles, l'excentricité superbe, l'orgie abracadabrantesque; il a bu dans un crâne ciselé au fond d'un vieux cloître, par une belle nuit d'Young. — (Mario Proth, Les vagabonds, Paris, Michel-Lévy fr..."
hétéroflexible;0.800;1.20;0.00;Graine de référence;(Sexualité) Personne qui, sans être homosexuelle ou bisexuelle, peut se laisser tenter par une relation homosexuelle[2][3]. Le type genre hétéroflexible (avec un accent sur flexible) avance sa main droite et caresse la cuisse de Rasmus qui incline la tête en arrière, ferme les yeux, sourit. — (Jo...
anagramme;0.791;0.65;2.67;Genre Grammatical Confus;Mot obtenu en changeant l'ordre des lettres d'un autre (souvent confondue au masculin : une anagramme).
azalée;0.785;0.65;2.30;Genre Grammatical Confus;Arbrisseau à fleurs printanières (souvent confondu avec le masculin : une azalée).
abysse;0.780;0.65;2.72;Genre Grammatical Confus;Fosse sous-marine très profonde (souvent confondu avec le féminin : un abysse).
turlupiner;0.779;0.70;2.15;Graine de référence;(Vieilli) (Familier) Faire des turlupinades, des mauvaises plaisanteries. Cet homme ne fait que turlupiner.
à tue-tâche;0.775;1.15;0.00;Mots insolites;(Vieilli) (Rare) (Désuet) Sans attention. Vite fait, mal fait.
abracadabrantiser;0.775;1.15;0.00;Mots insolites;Rendre abracadabrant. Soit, je prends ma baguette magique, j'abracadabrantise mon petit logo, y'a bien un truc qui se passe, certaines lettres se selectionnent, les pourtours semblent se flouter légèrement, enfin y'a du mouvement quoi ! — (site www.cyanide-studio.com (prend corrigé en prends))
abstractification;0.775;1.15;0.00;Mots insolites;(Très rare) Fait de rendre abstrait. Il semble inutile ici d’insister sur le fait que toute écriture, qu’elle soit alphabétique, abjadique ou idéogrammatique, provient de l’abstractification de pictogrammes originaires. — (Bruno Eble, Le miroir et l'empreinte – Spéculations sur la spécularité, 2011)
accessibilisation;0.775;1.15;0.00;Mots insolites;(Rare) Fait de rendre accessible. Les grandes chaînes d’hôtels ont joué le jeu de l’accessibilisation, notamment sur le plan du handicap moteur. Dès lors, la quasi-totalité des chaînes implantées en France ont procédé aux aménagements nécessaires […] — (Handitourisme 2013-2014, Petit Futé, page 4...
bisexualité;0.769;0.80;1.85;LGBT & Orientations;(Biologie) Caractère bisexué de certains êtres vivants. Exemple d’utilisation manquant. (Ajouter)
callipyge;0.769;0.80;1.85;Graine de référence;Qui a de belles fesses, aux formes harmonieuses. Il y eut à Syracuse deux femmes aux belles fesses, ou callipyges. Ces deux femmes, devenues riches, firent élever un temple à Vénus, qu’elles appelèrent la déesse aux belles fesses, selon ce que dit Archélaüs dans ses Iambes. — (Athénée, Banquet de...
baisodrome;0.767;0.60;2.66;LGBT & Orientations;(Populaire) (Sexualité) (Construction) Lieu pour avoir des rapports sexuels. Avoir son propre petit baisodrome pour une semaine était certainement la meilleure idée qu’il ait jamais eue. — (Linwood Barclay, Les Voisins d'à côté, 2010)
acadien;0.760;0.65;2.18;Mots insolites;Relatif à l’Acadie, ses habitants, sa langue et sa culture. Le parler acadien, comme d’ailleurs le parler canadien, sont des témoignages vivants d’une merveilleuse adaptation à un nouveau monde […] — (G. Massignon, Les Parlers français d’Acadie)
stalactite;0.758;0.70;2.04;Genre Grammatical Confus;Concrétion calcaire qui descend du plafond des grottes (souvent confondue avec le masculin).
stalagmite;0.758;0.70;2.04;Genre Grammatical Confus;Concrétion calcaire qui monte du sol des grottes (souvent confondue avec le masculin).
immondice;0.754;0.65;2.15;Genre Grammatical Confus;Ordure ménagère, déchet dégoûtant (généralement pluriel, souvent confondu avec le masculin).
épithète;0.754;0.75;3.11;Genre Grammatical Confus;Adjectif qualifiant directement un nom (souvent confondue avec le masculin : une épithète).
à chevauchons;0.750;1.10;0.00;Mots insolites;(Rare) (Désuet) À califourchon. Ces gens qui se logent à chevauchons sur l'épicycle de Mercure , il me semble qu'ils m'arrachent les dens. — (Michel de Montaigne, Les Essais, page 213, 1887)
à fleur de corde;0.750;1.10;0.00;Mots insolites;(Jeu de paume) (Désuet) Situation de la balle qui touche légèrement la corde en passant par-dessus. La balle a passé à fleur de corde, il s’en est fallu de peu que le coup ne soit perdu.
abasourdissement;0.750;1.10;0.00;Mots insolites;(Rare) État d’une personne étourdie par un grand bruit.
abatteur de bois;0.750;1.10;0.00;Mots insolites;(Sens propre) (Peu usité) Bûcheron.
à couilles rabattues;0.750;1.10;0.00;LGBT & Orientations;(Sexualité) (Vulgaire) Sans s’arrêter, à toute vitesse, en parlant du coït. Que vous vous fassiez sauter à couilles rabattues par qui vous voulez, la terre entière, c'est pas un problème , mais qu'est-ce que je fous là, moi, tu vois ? Au bal costumé du nouvel ex- des frangines ! — (Hervé Le Roux,...
accompagnant sexuel;0.750;1.10;0.00;LGBT & Orientations;(Sexualité) Synonyme de assistant sexuel. Exemple d’utilisation manquant. (Ajouter)
agacer le sous-préfet;0.750;1.10;0.00;LGBT & Orientations;(Vulgaire) Se masturber. Exemple d’utilisation manquant. (Ajouter)
aller en terre jaune;0.750;1.10;0.00;LGBT & Orientations;(Désuet) (Rare) (Sexualité) Sodomiser. Exemple d’utilisation manquant. (Ajouter)
aller voir la veuve poignet;0.750;1.10;0.00;LGBT & Orientations;(Vulgaire) Se masturber, en parlant d'un homme. Isabelle redescendit sur terre.— Quoi ? Qu'est-ce que vous dites ?— Vous savez bien, chef...— Non, sergent. Je ne vous suis pas.— Je... enfin... quoi... aller voir la veuve poignet. S'astiquer... — Ah. Vous parlez de se masturber en regardant les en...
aller voir madame cinq doigts;0.750;1.10;0.00;LGBT & Orientations;(Vulgaire) Se masturber, en parlant d'un homme. Il y a une scène extraordinaire dans ce livre où deux filles se baignent ensemble dans un lac. Elles sont complètement nues et il y a tellement de tension sexuelle entre elles que je te garantis que tu n’arriveras pas à la fin du chapitre sans sorti...
amphiphylophile;0.750;1.10;0.00;LGBT & Orientations;(Sexualité) Bisexuel. Exemple d’utilisation manquant. (Ajouter)
anarchie relationnelle;0.750;1.10;0.00;LGBT & Orientations;(Sexualité, Anarchisme) Mode de relation multiple, basé sur une non-exclusivité et non-hiérarchisation entre les personnes faisant partie de la galaxie affective de la personne de référence. Ces relations affectives ne sont pas définies par des étiquettes ou normes, et sont considérées comme flex...
andromimetophilie;0.750;1.10;0.00;LGBT & Orientations;(Sexualité, Transitude) Attirance sexuelle envers les hommes trans. […]autant que l'andromimetophilie (une paraphilie dans laquelle un individu éprouve une attirance et excitation sexuelle pour les personnes transgenres) et que la zoophilie. — (David Muhlmann, Urophilie, éd. In press, 2024.)
antiaphrodisiaque;0.750;1.10;0.00;LGBT & Orientations;
asphyxiophilie;0.750;1.10;0.00;LGBT & Orientations;
auto-monosexualiste;0.750;1.10;0.00;LGBT & Orientations;
avoir la cuisse hospitalière;0.750;1.10;0.00;LGBT & Orientations;
avoir la cuisse légère;0.750;1.10;0.00;LGBT & Orientations;
baiser comme des lapins;0.750;1.10;0.00;LGBT & Orientations;
baiser comme un lapin;0.750;1.10;0.00;LGBT & Orientations;
bête à deux dos;0.750;1.10;0.00;LGBT & Orientations;
border l’insomniaque;0.750;1.10;0.00;LGBT & Orientations;
polyamoureux;0.750;1.10;0.00;Graine de référence;
abreuvage;0.744;0.75;1.85;Mots insolites;
accouplée;0.744;0.75;1.85;Mots insolites;
antisexuel;0.744;0.75;1.85;LGBT & Orientations;
zinzolin;0.744;0.75;1.85;Graine de référence;
codex;0.742;0.60;2.79;Graine de référence;
bisexuel;0.736;0.65;2.94;LGBT & Orientations;
ubuesque;0.729;0.60;2.15;Graine de référence;
abattement;0.725;0.80;3.37;Mots insolites;
à la brigadière;0.725;1.05;0.00;Mots insolites;
abracadabresque;0.725;1.05;0.00;Mots insolites;
abréviativement;0.725;1.05;0.00;Mots insolites;
accrochement;0.725;1.05;0.00;Mots insolites;
aimer à l’italienne;0.725;1.05;0.00;LGBT & Orientations;
assistant sexuel;0.725;1.05;0.00;LGBT & Orientations;
autels de Cypris;0.725;1.05;0.00;LGBT & Orientations;
boules de geisha;0.725;1.05;0.00;LGBT & Orientations;
synesthésie;0.725;1.05;1.00;Graine de référence;
hétéronormatif;0.725;1.05;0.00;Graine de référence;
interstice;0.720;0.70;3.15;Genre Grammatical Confus;Tout petit espace vide entre les parties d'un corps (souvent confondu avec le féminin : un interstice).
absorbant;0.719;0.75;3.28;Mots insolites;
escompte;0.718;0.60;2.91;Genre Grammatical Confus;Déduction faite sur un paiement anticipé (souvent confondu avec le féminin : un escompte).
effluve;0.718;0.55;2.79;Genre Grammatical Confus;Émanation odorante (souvent confondu avec le féminin : un effluve).
orchidée;0.716;0.75;3.30;Genre Grammatical Confus;Fleur exotique complexe (souvent confondue avec le masculin : une orchidée).
optimum;0.710;0.55;2.18;Genre Grammatical Confus;Le point ou l'état le plus favorable (souvent confondu avec le féminin).
besogner;0.710;0.50;2.30;LGBT & Orientations;
baiseuse;0.704;0.50;2.73;LGBT & Orientations;
bondage;0.702;0.45;2.61;LGBT & Orientations;
acceptation;0.701;0.85;3.62;Mots insolites;
à la uhlane;0.700;1.00;0.00;Mots insolites;
à petits frais;0.700;1.00;0.00;Mots insolites;
à vau de route;0.700;1.00;0.00;Mots insolites;
à vol d’oiseau;0.700;1.00;0.00;Mots insolites;
à-quoi-bonisme;0.700;1.00;0.00;Mots insolites;
à-quoi-boniste;0.700;1.00;0.00;Mots insolites;
abolitionnaire;0.700;1.00;0.00;Mots insolites;
aboyabilité;0.700;1.00;0.00;Mots insolites;
abracadabrance;0.700;1.00;0.00;Mots insolites;
acataphasie;0.700;1.00;0.00;Mots insolites;
accomplissable;0.700;1.00;0.00;Mots insolites;
accourcissable;0.700;1.00;0.00;Mots insolites;
accrémentitiel;0.700;1.00;0.00;Mots insolites;
accrémentition;0.700;1.00;0.00;Mots insolites;
accroyez;0.700;1.00;0.00;Mots insolites;
anaphrodisiaque;0.700;1.00;0.00;LGBT & Orientations;
nycthémère;0.700;1.00;0.00;Graine de référence;
bourlinguer;0.694;0.65;1.85;LGBT & Orientations;
appendice;0.690;0.65;3.18;Genre Grammatical Confus;Partie ajoutée ou prolongement d'un organe (souvent confondu avec le féminin : un appendice).
accroupir;0.689;0.75;3.43;Mots insolites;
apothéose;0.677;0.80;3.61;Genre Grammatical Confus;Glorification, couronnement d'un parcours (souvent confondu avec le masculin : une apothéose).
à la Vaneigem;0.675;0.95;0.00;Mots insolites;
à qui pis pis;0.675;0.95;0.00;Mots insolites;
abominabilité;0.675;0.95;0.00;Mots insolites;
abonnissement;0.675;0.95;0.00;Mots insolites;
abordabiliser;0.675;0.95;0.00;Mots insolites;
accompagnable;0.675;0.95;0.00;Mots insolites;
accordéoniser;0.675;0.95;0.00;Mots insolites;
à la duc d’Aumale;0.675;0.95;0.00;LGBT & Orientations;
altersexualité;0.675;0.95;0.00;LGBT & Orientations;
baisage de gueule;0.675;0.95;0.00;LGBT & Orientations;
bite de cheval;0.675;0.95;0.00;LGBT & Orientations;
bombe sexuelle;0.675;0.95;0.00;LGBT & Orientations;
intersectionnel;0.675;0.95;0.00;Graine de référence;
écritoire;0.673;0.65;3.26;Genre Grammatical Confus;Nécessaire d'écriture (souvent confondue avec le masculin : une écritoire).
bestialité;0.670;0.60;3.15;LGBT & Orientations;
anale;0.666;0.35;2.54;LGBT & Orientations;
en-tête;0.666;0.70;3.42;Genre Grammatical Confus;Indication imprimée au sommet d'une lettre (souvent confondu avec le féminin).
hélice;0.650;0.65;3.37;Genre Grammatical Confus;Organe propulseur rotatif (souvent confondue avec le masculin : une hélice).
accipiosexuel;0.650;0.90;0.00;LGBT & Orientations;
aegosexualité;0.650;0.90;0.00;LGBT & Orientations;
aidant sexuel;0.650;0.90;0.00;LGBT & Orientations;
allosexualité;0.650;0.90;0.00;LGBT & Orientations;
avoir le gourdin;0.650;0.90;0.00;LGBT & Orientations;
bâillon-boule;0.650;0.90;0.00;LGBT & Orientations;
baiser florentin;0.650;0.90;0.00;LGBT & Orientations;
baratte à beurre;0.650;0.90;0.00;LGBT & Orientations;
bi-sexualiser;0.650;0.90;0.00;LGBT & Orientations;
bouche à pipe;0.650;0.90;0.00;LGBT & Orientations;
à brûle-poil;0.650;0.90;0.00;Mots insolites;
à contre-gré;0.650;0.90;0.00;Mots insolites;
abandogiciel;0.650;0.90;0.00;Mots insolites;
abat-carrage;0.650;0.90;0.00;Mots insolites;
abrutissable;0.650;0.90;0.00;Mots insolites;
académisable;0.650;0.90;0.00;Mots insolites;
acceptionnel;0.650;0.90;0.00;Mots insolites;
accidentable;0.650;0.90;0.00;Mots insolites;
accoutumable;0.650;0.90;0.00;Mots insolites;
accroissable;0.650;0.90;0.00;Mots insolites;
accroyant;0.650;0.90;0.00;Mots insolites;
abuseur;0.645;0.65;1.60;Mots insolites;
aéronef;0.644;0.55;1.85;Genre Grammatical Confus;Véhicule capable de s'élever et de circuler dans les airs (souvent confondu avec le féminin).
à la turque;0.625;0.85;0.00;Mots insolites;
abbevillien;0.625;0.85;0.00;Mots insolites;
abolissable;0.625;0.85;0.00;Mots insolites;
abouchon;0.625;0.85;0.00;Mots insolites;
abréviature;0.625;0.85;0.00;Mots insolites;
absorbation;0.625;0.85;0.00;Mots insolites;
absorbement;0.625;0.85;0.00;Mots insolites;
académicité;0.625;0.85;0.00;Mots insolites;
accoisement;0.625;0.85;0.00;Mots insolites;
accoquiller;0.625;0.85;0.00;Mots insolites;
accorchu;0.625;0.85;0.00;Mots insolites;
accordéoner;0.625;0.85;0.00;Mots insolites;
accrapoutir;0.625;0.85;0.00;Mots insolites;
à la paresseuse;0.625;0.85;0.00;LGBT & Orientations;
aegosexuelle;0.625;0.85;0.00;LGBT & Orientations;
allosexuelle;0.625;0.85;0.00;LGBT & Orientations;
amour de groupe;0.625;0.85;0.00;LGBT & Orientations;
anaphrodisie;0.625;0.85;0.00;LGBT & Orientations;
autocunnilingus;0.625;0.85;0.00;LGBT & Orientations;
autopénétration;0.625;0.85;0.00;LGBT & Orientations;
avoir la trique;0.625;0.85;0.00;LGBT & Orientations;
baiser colombin;0.625;0.85;0.00;LGBT & Orientations;
bisexualiser;0.625;0.85;0.00;LGBT & Orientations;
bourrer la pipe;0.625;0.85;0.00;LGBT & Orientations;
demisexuel;0.625;0.85;0.00;Graine de référence;
pétale;0.620;0.50;3.15;Genre Grammatical Confus;Partie colorée de la fleur (souvent confondu avec le féminin : un pétale).
octave;0.620;0.50;3.15;Genre Grammatical Confus;Intervalle de huit notes en musique (parfois confondue avec le masculin).
accrocher;0.619;0.90;4.16;Mots insolites;
Abeille;0.615;0.65;3.55;Mots insolites;
asexuelle;0.610;0.70;1.30;LGBT & Orientations;
mentor;0.608;0.50;3.21;Graine de référence;
2ELGBTQIA+;0.600;0.80;0.00;Mots insolites;
à boulevue;0.600;0.80;0.00;Mots insolites;
à la coite;0.600;0.80;0.00;Mots insolites;
abénaki;0.600;0.80;0.00;Mots insolites;
abigaïl;0.600;0.80;0.00;Mots insolites;
Abistek;0.600;0.80;0.00;Mots insolites;
aboulement;0.600;0.80;0.00;Mots insolites;
abreuvable;0.600;0.80;0.00;Mots insolites;
abrogement;0.600;0.80;0.00;Mots insolites;
abscondité;0.600;0.80;0.00;Mots insolites;
abukuma;0.600;0.80;0.00;Mots insolites;
abydéen;0.600;0.80;0.00;Mots insolites;
agoraphilie;0.600;0.80;0.00;LGBT & Orientations;
altersexuel;0.600;0.80;0.00;LGBT & Orientations;
asshole pic;0.600;0.80;0.00;LGBT & Orientations;
attoucheuse;0.600;0.80;0.00;LGBT & Orientations;
auto-sexuel;0.600;0.80;0.00;LGBT & Orientations;
balanophage;0.600;0.80;0.00;LGBT & Orientations;
barebacking;0.600;0.80;0.00;LGBT & Orientations;
vernaculaire;0.600;0.80;1.00;Graine de référence;
pansexuel;0.600;0.80;0.00;Graine de référence;
agace-pissette;0.600;0.80;0.00;LGBT & Orientations;
avoir la gaule;0.600;0.80;0.00;LGBT & Orientations;
bouton d’amour;0.600;0.80;0.00;LGBT & Orientations;
abat-jour;0.592;0.75;3.92;Mots insolites;
2ELGBTQI+;0.575;0.75;0.00;Mots insolites;
aaronisme;0.575;0.75;0.00;Mots insolites;
abdicable;0.575;0.75;0.00;Mots insolites;
abéqueuse;0.575;0.75;0.00;Mots insolites;
abjadique;0.575;0.75;0.00;Mots insolites;
abjurable;0.575;0.75;0.00;Mots insolites;
abouement;0.575;0.75;0.00;Mots insolites;
accalminé;0.575;0.75;0.00;Mots insolites;
accepteur;0.575;0.75;0.00;Mots insolites;
accointer;0.575;0.75;0.00;Mots insolites;
abrosexuel;0.575;0.75;0.00;LGBT & Orientations;
aegosexuel;0.575;0.75;0.00;LGBT & Orientations;
agoraphile;0.575;0.75;0.00;LGBT & Orientations;
allosexuel;0.575;0.75;0.00;LGBT & Orientations;
androphile;0.575;0.75;0.00;LGBT & Orientations;
anneau pénien;0.575;0.75;0.00;LGBT & Orientations;
arnophilie;0.575;0.75;0.00;LGBT & Orientations;
attoucheur;0.575;0.75;0.00;LGBT & Orientations;
autofellation;0.575;0.75;0.00;LGBT & Orientations;
autophilie;0.575;0.75;0.00;LGBT & Orientations;
autosexuel;0.575;0.75;0.00;LGBT & Orientations;
barebacker;0.575;0.75;0.00;LGBT & Orientations;
bi-curieux;0.575;0.75;0.00;LGBT & Orientations;
sybarite;0.575;0.75;0.00;Graine de référence;
saphique;0.575;0.75;0.00;Graine de référence;
non-binaire;0.575;0.75;0.00;Graine de référence;
cisnormatif;0.575;0.75;0.00;Graine de référence;
exode;0.573;0.60;3.64;Genre Grammatical Confus;Départ en masse d'un peuple ou d'une population (souvent confondu avec le féminin : un exode).
antidote;0.572;0.60;3.64;Genre Grammatical Confus;Substance combattant un poison (souvent confondu avec le féminin : un antidote).
effigie;0.569;0.55;3.53;Genre Grammatical Confus;Représentation du visage d'une personne sur une monnaie ou médaille (souvent confondue).
aléser;0.569;0.40;1.85;LGBT & Orientations;
après-midi;0.550;0.70;0.00;Genre Grammatical Confus;Partie de la journée qui va de midi au soir (le ou la après-midi sont admis, source fréquente d'hésitation).
2STNBNCG;0.550;0.70;0.00;Mots insolites;
abélisme;0.550;0.70;0.00;Mots insolites;
abéliste;0.550;0.70;0.00;Mots insolites;
abénaqui;0.550;0.70;0.00;Mots insolites;
abloquir;0.550;0.70;0.00;Mots insolites;
abrévier;0.550;0.70;0.00;Mots insolites;
abrogeur;0.550;0.70;0.00;Mots insolites;
abusable;0.550;0.70;0.00;Mots insolites;
abuseuse;0.550;0.70;0.00;Mots insolites;
accoiser;0.550;0.70;0.00;Mots insolites;
algolagnique;0.550;0.70;0.00;LGBT & Orientations;
algopareunie;0.550;0.70;0.00;LGBT & Orientations;
allosensible;0.550;0.70;0.00;LGBT & Orientations;
anandryne;0.550;0.70;0.00;LGBT & Orientations;
aphanisis;0.550;0.70;0.00;LGBT & Orientations;
bi-sexuel;0.550;0.70;0.00;LGBT & Orientations;
biromantique;0.550;0.70;0.00;LGBT & Orientations;
brandouiller;0.550;0.70;0.00;LGBT & Orientations;
transgenre;0.550;0.70;0.00;Graine de référence;
aulos;0.544;0.35;1.85;LGBT & Orientations;
insigne;0.538;0.55;3.69;Genre Grammatical Confus;Marque distinctive d'une dignité ou d'une fonction (souvent confondu avec le féminin : un insigne).
amour libre;0.525;0.65;0.00;LGBT & Orientations;
anticoniste;0.525;0.65;0.00;LGBT & Orientations;
aromantique;0.525;0.65;0.00;LGBT & Orientations;
axilisme;0.525;0.65;0.00;LGBT & Orientations;
backroom;0.525;0.65;0.00;LGBT & Orientations;
barathre;0.525;0.65;0.00;LGBT & Orientations;
bardache;0.525;0.65;0.00;LGBT & Orientations;
bareback;0.525;0.65;0.00;LGBT & Orientations;
bi-curieuse;0.525;0.65;0.00;LGBT & Orientations;
bien membré;0.525;0.65;0.00;LGBT & Orientations;
bouboupisme;0.525;0.65;0.00;LGBT & Orientations;
2STNBGD;0.525;0.65;0.00;Mots insolites;
abdalas;0.525;0.65;0.00;Mots insolites;
abeillé;0.525;0.65;0.00;Mots insolites;
abéquer;0.525;0.65;0.00;Mots insolites;
aberrer;0.525;0.65;0.00;Mots insolites;
abésodé;0.525;0.65;0.00;Mots insolites;
abîmage;0.525;0.65;0.00;Mots insolites;
