Mot;Pole_Semantique;Domaine_Ecriture;Registre_Tonalite;Profil_Emotionnel;Epoque;Difficulte;Difficulte_Abstraction;Pertinence
funambule;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.500;0.50
garrulité;ARTS_ET_LANGAGE;ROMANESQUE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.919;0.650;0.50
gnomique;ARTS_ET_LANGAGE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.550;0.50
grimoire;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.150;0.50
harangue;ARTS_ET_LANGAGE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.030;0.500;0.50
hémistiche;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.595;0.500;0.50
héraut;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.104;0.500;0.50
incantation;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.650;0.50
invective;ARTS_ET_LANGAGE;THEATRE;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;ROMANTIQUE_19;0.040;0.500;0.50
laconique;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.550;0.50
laudateur;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.583;0.500;0.50
libation;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.321;0.650;0.50
liminaire;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.550;0.50
liturgie;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.500;0.50
loquace;ARTS_ET_LANGAGE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.500;0.50
loquacité;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.650;0.50
lyrisme;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.070;0.893;0.50
mignardise;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.500;0.50
mignonne;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.030;0.500;0.50
murmure;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.020;0.527;0.50
mélopée;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.020;0.500;0.50
ménestrel;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.040;0.550;0.50
métrique;ARTS_ET_LANGAGE;POESIE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.080;0.550;0.50
oblation;ARTS_ET_LANGAGE;ESSAI_PHILOSOPHIQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.329;0.650;0.50
ostensoir;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.040;0.150;0.50
palimpseste;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.284;0.500;0.50
panégyrique;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.550;0.50
pataquès;ARTS_ET_LANGAGE;THEATRE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.030;0.500;0.50
patène;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.325;0.150;0.50
poétique;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.550;0.50
prolixe;ARTS_ET_LANGAGE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.500;0.50
prolixité;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.475;0.650;0.50
psalmodie;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.040;0.500;0.50
psalmodier;ARTS_ET_LANGAGE;POESIE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.500;0.50
psautier;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.512;0.150;0.50
quiproquo;ARTS_ET_LANGAGE;THEATRE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.040;0.500;0.50
ratiociner;ARTS_ET_LANGAGE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.869;0.500;0.50
rhapsode;ARTS_ET_LANGAGE;POESIE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;1.000;0.500;0.50
rhapsodie;ARTS_ET_LANGAGE;POESIE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.500;0.50
satirique;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.550;0.50
satyrique;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.550;0.50
soliloque;ARTS_ET_LANGAGE;THEATRE;COMIC_BURLESQUE;NEUTRE;CLASSIQUE_17_18;0.040;0.500;0.50
somnambule;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.372;0.50
soporifique;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.550;0.50
talisman;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.618;0.50
tintamarre;ARTS_ET_LANGAGE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.628;0.50
troubadour;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.050;0.500;0.50
trépidation;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.650;0.50
vate;ARTS_ET_LANGAGE;POESIE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;1.000;0.500;0.50
vaticination;ARTS_ET_LANGAGE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.481;0.650;0.50
verbeux;ARTS_ET_LANGAGE;ROMANESQUE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.020;0.500;0.50
volubile;ARTS_ET_LANGAGE;ROMANESQUE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.030;0.500;0.50
volubilité;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.650;0.50
vélin;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.077;0.150;0.50
élixir;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.010;0.500;0.50
élucubration;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.070;0.650;0.50
élégiaque;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.040;0.500;0.50
élégie;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.010;0.500;0.50
épigone;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.500;0.50
acrimonie;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;ROMANTIQUE_19;0.040;0.600;0.50
anachorète;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.141;0.600;0.50
atermoiement;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.381;0.600;0.50
atrabilaire;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.389;0.650;0.50
auguste;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.600;0.50
bilieux;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.242;0.600;0.50
bonhomie;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;ROMANTIQUE_19;0.030;0.600;0.50
brigand;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.250;0.50
captieux;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.501;0.600;0.50
causticité;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.184;0.750;0.50
caustique;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.650;0.50
circonspect;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.600;0.50
clémence;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;ROMANTIQUE_19;0.030;0.795;0.50
collusion;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;ROMANTIQUE_19;0.040;0.600;0.50
condottiere;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.209;0.250;0.50
connivence;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.750;0.50
cénobite;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.491;0.600;0.50
effronterie;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.600;0.50
estafette;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.040;0.250;0.50
facétieux;ESPRIT_ET_CARACTERE;ROMANESQUE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.040;0.600;0.50
fallacieux;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.600;0.50
famélique;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.040;0.650;0.50
fielleux;ESPRIT_ET_CARACTERE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.030;0.600;0.50
flegmatique;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.650;0.50
flibustier;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.250;0.50
flâneur;ESPRIT_ET_CARACTERE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.020;0.600;0.50
fripon;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.010;0.600;0.50
goguenard;ESPRIT_ET_CARACTERE;THEATRE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.040;0.600;0.50
graveleux;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.600;0.50
gredin;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.010;0.600;0.50
grivois;ESPRIT_ET_CARACTERE;THEATRE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.020;0.600;0.50
grivoiserie;ESPRIT_ET_CARACTERE;THEATRE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.554;0.600;0.50
grognard;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.250;0.50
ignominie;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;ROMANTIQUE_19;0.040;0.948;0.50
ilote;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.188;0.600;0.50
imbroglio;ESPRIT_ET_CARACTERE;THEATRE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.040;0.600;0.50
impertinence;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.070;0.750;0.50
impudence;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.750;0.50
impérieux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.600;0.50
impéritie;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.199;0.600;0.50
incurie;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.600;0.50
indocile;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.600;0.50
insidieux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.600;0.50
insolence;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.750;0.50
insoumis;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.600;0.50
intransigeance;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.080;0.750;0.50
intrépide;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.600;0.50
intègre;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.600;0.50
irrévérence;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.286;0.750;0.50
larron;ESPRIT_ET_CARACTERE;THEATRE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.010;0.250;0.50
libidineux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.600;0.50
licencieux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.600;0.50
longanimité;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.433;0.750;0.50
magnanime;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.040;0.600;0.50
malandrin;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.393;0.250;0.50
mansuétude;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.050;0.750;0.50
maraudeur;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.250;0.50
marmiton;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.204;0.250;0.50
mentor;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.010;0.600;0.50
moujik;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.160;0.250;0.50
méticuleux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.600;0.50
narquois;ESPRIT_ET_CARACTERE;ROMANESQUE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.030;0.600;0.50
noctambule;ESPRIT_ET_CARACTERE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.050;0.600;0.50
obséquieux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.600;0.50
ombrageux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.600;0.50
opiniâtre;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.600;0.50
opulence;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.750;0.50
ostentatoire;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.070;0.600;0.50
ostracisme;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.100;0.750;0.50
outrageux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.363;0.600;0.50
outrecuidance;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.080;0.750;0.50
outrecuidant;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.070;0.600;0.50
paladin;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.250;0.50
palefrenier;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.111;0.250;0.50
parangon;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.600;0.50
paria;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.000;0.600;0.50
parjure;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.020;0.600;0.50
patricien;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.600;0.50
pernicieux;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.600;0.50
plébéien;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.600;0.50
pointilleux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.600;0.50
potentat;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.223;0.600;0.50
preux;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.000;0.600;0.50
probe;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.153;0.600;0.50
procrastination;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.663;0.750;0.50
prodigalité;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.750;0.50
précepteur;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.600;0.50
préséance;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.040;0.750;0.50
pugnace;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.600;0.50
pusillanime;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.060;0.600;0.50
renégat;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.020;0.600;0.50
sardonique;ESPRIT_ET_CARACTERE;THEATRE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.050;0.650;0.50
satyre;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.010;0.250;0.50
sbire;ESPRIT_ET_CARACTERE;THEATRE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.052;0.935;0.50
scabreux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.030;0.600;0.50
scrupuleux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.050;0.600;0.50
