Mot;Pole_Semantique;Domaine_Ecriture;Registre_Tonalite;Profil_Emotionnel;Epoque;Difficulte;Pertinence
invective;ARTS_ET_LANGAGE;THEATRE;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;ROMANTIQUE_19;0.543;0.50
laconique;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.576;0.50
laudateur;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.957;0.50
libation;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.874;0.50
liminaire;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.957;0.50
liturgie;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.410;0.50
loquace;ARTS_ET_LANGAGE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.394;0.50
loquacité;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.50
lyrisme;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.478;0.50
mignardise;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.869;0.50
mignonne;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.060;0.50
murmure;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.040;0.50
mélopée;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.342;0.50
ménestrel;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.742;0.50
métrique;ARTS_ET_LANGAGE;POESIE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.792;0.50
oblation;ARTS_ET_LANGAGE;ESSAI_PHILOSOPHIQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.874;0.50
ostensoir;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.506;0.50
palimpseste;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.834;0.50
panégyrique;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.969;0.50
pataquès;ARTS_ET_LANGAGE;THEATRE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.692;0.50
patène;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.687;0.50
poétique;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.328;0.50
prolixe;ARTS_ET_LANGAGE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.516;0.50
prolixité;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.844;0.50
psalmodie;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.589;0.50
psalmodier;ARTS_ET_LANGAGE;POESIE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.681;0.50
psautier;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.829;0.50
quiproquo;ARTS_ET_LANGAGE;THEATRE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.621;0.50
ratiociner;ARTS_ET_LANGAGE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.850;0.50
rhapsode;ARTS_ET_LANGAGE;POESIE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.810;0.50
rhapsodie;ARTS_ET_LANGAGE;POESIE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.712;0.50
satirique;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.783;0.50
satyrique;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.50
soliloque;ARTS_ET_LANGAGE;THEATRE;COMIC_BURLESQUE;NEUTRE;CLASSIQUE_17_18;0.523;0.50
somnambule;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.321;0.50
soporifique;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.766;0.50
talisman;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.374;0.50
tintamarre;ARTS_ET_LANGAGE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.379;0.50
troubadour;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.624;0.50
trépidation;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.653;0.50
vate;ARTS_ET_LANGAGE;POESIE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.750;0.50
vaticination;ARTS_ET_LANGAGE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.50
verbeux;ARTS_ET_LANGAGE;ROMANESQUE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.757;0.50
volubile;ARTS_ET_LANGAGE;ROMANESQUE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.321;0.50
volubilité;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.496;0.50
vélin;ARTS_ET_LANGAGE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.524;0.50
élixir;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.469;0.50
élucubration;ARTS_ET_LANGAGE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;1.000;0.50
élégiaque;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.712;0.50
élégie;ARTS_ET_LANGAGE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.687;0.50
épigone;ARTS_ET_LANGAGE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.754;0.50
acrimonie;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;ROMANTIQUE_19;0.577;0.50
anachorète;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.703;0.50
atermoiement;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.909;0.50
atrabilaire;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.889;0.50
auguste;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.354;0.50
bilieux;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.693;0.50
bonhomie;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;ROMANTIQUE_19;0.305;0.50
brigand;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.389;0.50
captieux;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.987;0.50
causticité;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.977;0.50
caustique;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.613;0.50
circonspect;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.480;0.50
clémence;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;ROMANTIQUE_19;0.333;0.50
collusion;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEGATIF_EXCITANT;ROMANTIQUE_19;0.640;0.50
condottiere;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.680;0.50
connivence;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.284;0.50
cénobite;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.937;0.50
effronterie;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.563;0.50
estafette;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.407;0.50
facétieux;ESPRIT_ET_CARACTERE;ROMANESQUE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.614;0.50
fallacieux;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.568;0.50
famélique;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.623;0.50
fielleux;ESPRIT_ET_CARACTERE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.691;0.50
flegmatique;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.731;0.50
flibustier;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.624;0.50
flâneur;ESPRIT_ET_CARACTERE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.501;0.50
fripon;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.529;0.50
goguenard;ESPRIT_ET_CARACTERE;THEATRE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.335;0.50
graveleux;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.654;0.50
gredin;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.450;0.50
grivois;ESPRIT_ET_CARACTERE;THEATRE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.672;0.50
grivoiserie;ESPRIT_ET_CARACTERE;THEATRE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.889;0.50
grognard;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.727;0.50
ignominie;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEGATIF_EXCITANT;ROMANTIQUE_19;0.365;0.50
ilote;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.667;0.50
imbroglio;ESPRIT_ET_CARACTERE;THEATRE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.476;0.50
impertinence;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.558;0.50
impudence;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.506;0.50
impérieux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.303;0.50
impéritie;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.794;0.50
incurie;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.564;0.50
indocile;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.571;0.50
insidieux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.548;0.50
insolence;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.207;0.50
insoumis;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.437;0.50
intransigeance;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.449;0.50
intrépide;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.386;0.50
intègre;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.360;0.50
irrévérence;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.771;0.50
larron;ESPRIT_ET_CARACTERE;THEATRE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.492;0.50
libidineux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.691;0.50
licencieux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.753;0.50
longanimité;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.889;0.50
magnanime;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.476;0.50
malandrin;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.849;0.50
mansuétude;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;POSITIF_CALME;CLASSIQUE_17_18;0.454;0.50
maraudeur;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.481;0.50
marmiton;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.663;0.50
mentor;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.409;0.50
moujik;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.630;0.50
méticuleux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.395;0.50
narquois;ESPRIT_ET_CARACTERE;ROMANESQUE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.283;0.50
noctambule;ESPRIT_ET_CARACTERE;POESIE;POETIQUE_LYRIQUE;NEUTRE;ROMANTIQUE_19;0.572;0.50
obséquieux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.674;0.50
ombrageux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.496;0.50
opiniâtre;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.415;0.50
opulence;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.342;0.50
ostentatoire;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.550;0.50
ostracisme;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.652;0.50
outrageux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.844;0.50
outrecuidance;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.661;0.50
outrecuidant;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.854;0.50
paladin;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.600;0.50
palefrenier;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.644;0.50
parangon;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.512;0.50
paria;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;0.396;0.50
parjure;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.447;0.50
patricien;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.747;0.50
pernicieux;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.602;0.50
plébéien;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.692;0.50
pointilleux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.647;0.50
potentat;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.692;0.50
preux;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.449;0.50
probe;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.623;0.50
procrastination;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;MODERNE_20;1.000;0.50
prodigalité;ESPRIT_ET_CARACTERE;ESSAI_PHILOSOPHIQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.592;0.50
précepteur;ESPRIT_ET_CARACTERE;ROMANESQUE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.445;0.50
préséance;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.661;0.50
pugnace;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.809;0.50
pusillanime;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.617;0.50
renégat;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.483;0.50
sardonique;ESPRIT_ET_CARACTERE;THEATRE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.672;0.50
satyre;ESPRIT_ET_CARACTERE;THEATRE;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.325;0.50
sbire;ESPRIT_ET_CARACTERE;THEATRE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.595;0.50
scabreux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.562;0.50
scrupuleux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.477;0.50
scélérat;ESPRIT_ET_CARACTERE;ROMANESQUE;TRAGIQUE_DRAMATIQUE;NEUTRE;ROMANTIQUE_19;0.360;0.50
sicaire;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;0.917;0.50
simagrée;ESPRIT_ET_CARACTERE;THEATRE;COMIC_BURLESQUE;NEUTRE;ROMANTIQUE_19;0.774;0.50
sourcilleux;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.613;0.50
spadassin;ESPRIT_ET_CARACTERE;THEATRE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.604;0.50
suzerain;ESPRIT_ET_CARACTERE;ROMANESQUE;ARCHAIQUE_RECHERCHE;NEUTRE;CLASSIQUE_17_18;0.691;0.50
sycophante;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;ARCHAIQUE_RECHERCHE;NEUTRE;ROMANTIQUE_19;1.000;0.50
taciturne;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;CLASSIQUE_17_18;0.282;0.50
thuriféraire;ESPRIT_ET_CARACTERE;CRITIQUE_MEMOIRES;LITTERAIRE_STANDARD;NEUTRE;ROMANTIQUE_19;0.909;0.50
