Mot;Zipf Livres;Zipf Films;Freq Livres (ppm);Freq Films (ppm);Définition
litote;2.30;1.48;0.20;0.03;Figure de rhétorique qui consiste à dire moins pour faire entendre plus (ex: ce n'est pas mauvais).
hyperbole;2.30;1.95;0.20;0.09;Exagération extrême visant à frapper les esprits.
alléguer;2.30;0.00;0.20;0.00;Définition non renseignée
conjecturer;2.30;2.15;0.20;0.14;Supposer ou faire des hypothèses sur la base de probabilités.
irréfragable;2.30;1.85;0.20;0.07;Définition non renseignée
univoque;2.30;2.40;0.20;0.25;Définition non renseignée
panégyrique;2.30;2.34;0.20;0.22;Définition non renseignée
syllogisme;2.15;2.11;0.14;0.13;Raisonnement logique composé de trois propositions (deux prémisses et une conclusion) tel que la conclusion découle nécessairement des prémisses.
tautologie;2.15;1.00;0.14;0.01;Proposition qui répète la même chose sous des formes différentes, raisonnement circulaire.
synecdoque;2.15;0.00;0.14;0.00;Type de métonymie consistant à prendre la partie pour le tout, ou le tout pour la partie.
subodorer;2.15;2.04;0.14;0.11;Pressentir ou deviner quelque chose par intuition.
élucubrer;2.15;1.00;0.14;0.01;Créer des théories ou des écrits extravagants à force de réflexions laborieuses.
spécieux;2.15;1.78;0.14;0.06;Définition non renseignée
prémisse;1.85;1.70;0.07;0.05;Définition non renseignée
allégation;1.85;2.45;0.07;0.28;Affirmation que l'on produit pour soutenir une cause ou un fait, souvent sans preuve immédiate.
métonymie;1.85;0.00;0.07;0.00;Figure par laquelle on remplace un mot par un autre lié par un rapport de contiguïté (ex: boire un verre).
inférer;1.85;0.00;0.07;0.00;Tirer une conséquence d'un principe ou d'un fait.
vilipender;1.85;2.18;0.07;0.15;Dénigrer ou rabaisser quelqu'un avec mépris.
infirmer;1.85;1.85;0.07;0.07;Affaiblir ou contredire une hypothèse ou une décision antérieure.
captieux;1.85;0.00;0.07;0.00;Définition non renseignée
dichotomie;0.00;2.30;0.00;0.20;Division de quelque chose en deux parties souvent opposées.
